shell,complement_size,support_size,shell_blocks,intersection_profile,gap_degree,quotient_degree,factor_x_minus_1_squared,quotient_coefficients_nonnegative,quotient_coeff_min,quotient_coeff_max,quotient_coefficients_ascending,gap_coefficients_ascending,certified
12,0,24,2576,0 0 0 0 0 0 0 0 0 0 0 0 2576,0,0,True,True,0,0,0,0,True
12,1,23,2576,0 0 0 0 0 0 0 0 0 0 0 1288 1288,12,10,True,True,2576,135199816976,2576 5152 363216 721280 21519904 42318528 689960992 1337603456 12798302160 24259000864 135199816976,2576 0 355488 0 20440560 0 626843840 0 10813056240 0 99480117408 -246140633088 135199816976,True
12,2,22,2576,0 0 0 0 0 0 0 0 0 0 616 1344 616,12,10,True,True,164864,174347199488,164864 329728 11375616 22421504 332695552 642969600 5341923328 10040877056 50946438144 91851999232 174347199488,164864 0 10881024 0 299228160 0 4388679680 0 36206607360 0 41589639168 -256842399744 174347199488,True
12,3,21,2576,0 0 0 0 0 0 0 0 0 280 1008 1008 280,12,10,True,True,1877904,167424694416,1877904 3755808 84505680 165255552 1626264864 3087274176 17430704928 31774135680 113750278992 142217589024 167424694416,1877904 0 78871968 0 1380259440 0 12882421440 0 67632712560 -53508833280 -3260204640 -192631799808 167424694416,True
12,4,20,2576,0 0 0 0 0 0 0 0 120 640 1056 640 120,12,10,True,True,10551296,177215176704,10551296 21102592 348192768 675282944 4959109120 9242935296 39905001472 70567067648 177215176704 161557381120 141931642880,10551296 0 316538880 0 3956736000 0 26378240000 0 75986042880 -122305904640 -3967942656 -122305904640 141931642880,True
12,5,19,2576,0 0 0 0 0 0 0 48 360 880 880 360 48,12,10,True,True,40250000,221639908944,40250000 80500000 1038450000 1996400000 11672500000 21348600000 75196660000 119871777152 221639908944 155237421856 112017246608,40250000 0 917700000 0 8718150000 0 44171960000 -9172942848 57093014640 -168170618880 23182311840 -68797071360 112017246608,True
16,0,24,759,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 759,0,0,True,True,0,0,0,0,True
16,1,23,759,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 506 253,16,14,True,True,759,31588983341751,759 1518 141933 282348 11665071 23047794 551576685 1080105576 16476586797 31873068018 320839872111 609806676204 4044832193325 7479857710446 31588983341751,759 0 139656 0 11242308 0 517146168 0 14867952330 0 273570322872 0 3146058713028 0 20674100114184 -55698108973056 31588983341751,True
16,2,22,759,0 0 0 0 0 0 0 0 0 0 0 0 0 0 330 352 77,16,14,True,True,194304,33174988822272,194304 388608 17681664 34974720 710569728 1386164736 16544402688 31702640640 245997219072 460291797504 2426986172160 4393680546816 15998573800704 27603467054592 33174988822272,194304 0 17098752 0 658301952 0 14482642944 0 199136340480 0 1752399796224 0 9638198879232 0 -6033371486208 -38746510589952 33174988822272,True
