generator_id,coefficient_signed,entry_count
0,-500001,4
0,-500000,1
0,-4,7
0,-3,5
0,-2,26
0,-1,37
0,1,96
0,2,22
0,3,2
0,4,11
0,500000,2
0,500001,5
1,-500001,3
1,-500000,1
1,-6,1
1,-5,1
1,-4,3
1,-3,3
1,-2,24
1,-1,55
1,1,105
1,2,27
1,3,2
1,4,4
1,5,2
1,500000,1
1,500001,3
2,-500001,4
2,-499999,2
2,-10,1
2,-6,1
2,-5,3
2,-4,4
2,-3,1
2,-2,15
2,-1,37
2,1,93
2,2,17
2,4,3
2,5,3
2,8,3
2,499994,1
2,499999,1
2,500001,4
