generator_id,action_order,support_operator_rank,support_operator_nullity,support_operator_nonzero_count,support_inverse_nonzero_count,k23_residual_nonzero_count,frame_residual_nonzero_count,inverse_residual_nonzero_count,support_operator_order,coefficient_distinct_count,coefficient_min_signed,coefficient_max_signed,negative_coefficient_count,positive_coefficient_count,signed_l1_total
0,2,56,0,218,218,0,0,0,2,12,-500001,500001,80,138,6000331
1,15,56,0,235,198,0,0,0,15,15,-500001,500001,91,144,4000332
2,3,56,0,193,217,0,0,0,3,17,-500001,500001,68,125,6000294
