rank,report_code,role_code,certified_flag,primary_margin,primary_floor,row_count,raw_count,support_equalizer_count,min_count,universal_claim_flag
0,0,0,1,1,0,4903515,0,0,2,0
1,1,1,1,0,492736,11143364232,11143364232,0,1,0
2,2,2,1,1,492736,6,6,0,1,0
3,3,3,1,1,11213312,7735158,4,0,4,0
