stage_id,stage_code,source_code,source_row_id,screen_order,intervention_size,block_code_0,block_code_1,block_code_2,block_code_3,state_count,edge_count,lambda_2_x1e12,cut_conductance_x1e12,conductance_drop_from_base_x1e12,conductance_drop_from_previous_x1e12,old_cut_edge_still_cut_count,old_cut_edge_same_side_count,support_changed_flag,eta6_holonomy_pairing,eta6_relative_class_nonzero_flag
0,0,-1,-1,0,0,-1,-1,-1,-1,860,2571,2422953000,4329004000,0,0,6,0,0,1,1
1,1,1,81,1,3,5255,1252,5252,-1,900,2711,2443681000,3649635000,679369000,679369000,6,0,0,1,1
2,2,3,2,2,1,2114,-1,-1,-1,945,3045,1972362000,2645503000,1683501000,1004132000,6,0,0,1,1
3,3,4,20,3,2,2114,5255,-1,-1,952,3058,1969615000,2615519000,1713485000,29984000,6,0,0,1,1
4,4,5,10,4,3,2114,5255,1521,-1,957,3063,1967643000,2610966000,1718038000,4553000,6,0,0,1,1
