trace,shell,t,F,ratio,dF,Emax,kmax,barrier_class,dissonance_class,danger_flag,pitch_hz,amplitude,roughness,brightness,lambda_hc_channel
w12_random_safe,12,0.0,0.0,1.0,-6.5530673500817265e-18,-5.162537064506978e-15,1,barrier,majorized,False,960.0,0.53,0.0,5.460889458401438e-19,0.0
w12_random_safe,12,0.06177606177606178,-0.0014058860698415998,0.9985951017250159,-0.04544130822610071,4.440892098500626e-15,24,near,majorized,False,959.7259003883058,0.5297786274127779,3.552713678800501e-13,0.0037867756855083923,0.0
w12_random_safe,12,0.12355212355212356,-0.005604769961063738,0.9944109074589752,-0.09041646253119054,1.0880185641326534e-14,24,near,majorized,False,958.9078352028395,0.5291181139983646,8.704148513061227e-13,0.007534705210932545,0.0
w12_random_safe,12,0.18532818532818535,-0.012566603683123567,0.9875120263654213,-0.13488524943550087,1.7763568394002505e-15,24,near,majorized,False,957.5533575424129,0.528025106202466,1.4210854715202004e-13,0.011240437452958406,0.0
w12_random_safe,12,0.2471042471042471,-0.022258908692347035,0.9779869929358588,-0.17880921459820104,7.716050021144838e-15,24,near,majorized,False,955.6715672482505,0.5265078425759263,6.17284001691587e-13,0.01490076788318342,0.0
w12_random_safe,12,0.3088803088803089,-0.03464688837871588,0.965946442958324,-0.22215178400890218,1.2656542480726785e-14,24,near,majorized,False,953.2730323859073,0.5245760679602771,1.0125233984581428e-12,0.018512648667408513,0.0
w12_random_safe,12,0.3706563706563707,-0.04969354760914424,0.9515209757031045,-0.26487837116272583,-2.3314683517128287e-15,24,near,majorized,False,950.3697025337132,0.5222409375329509,0.0,0.02207319759689382,0.0
w12_random_safe,12,0.43243243243243246,-0.06735981844709826,0.9348587613839784,-0.30695646978654595,3.6637359812630166e-15,24,near,majorized,False,946.9748149749271,0.5195149121287511,2.9309887850104133e-13,0.025579705815545497,0.0
w12_random_safe,12,0.4942084942084942,-0.08760469114698743,0.9161229566671254,-0.3483557318548116,4.718447854656915e-15,24,near,majorized,False,943.1027949361727,0.5164116463203088,3.774758283725532e-13,0.0290296443212343,0.0
w12_random_safe,12,0.555984555984556,-0.11038534951085754,0.8954889925552465,-0.3890480307999624,3.164135620181696e-15,24,below,majorized,False,938.7691510402526,0.512945870777144,2.531308496145357e-13,0.0324206692333302,0.0
w12_random_safe,12,0.6177606177606177,-0.13565730969391332,0.8731417984553229,-0.42900750998239257,5.662137425588298e-15,24,below,majorized,False,933.9903671476947,0.5091332704314416,4.5297099404706387e-13,0.03575062583186605,0.0
w12_random_safe,12,0.6795366795366795,-0.16337456155422103,0.8492730238084397,-0.4682106166356291,5.051514762044462e-15,24,below,majorized,False,928.7837917492383,0.5049903599601193,4.04121180963557e-13,0.039017551386302425,0.0
w12_random_safe,12,0.7413127413127414,-0.1934897116595664,0.8240783145497407,-0.5066361216421382,-5.828670879282072e-15,24,below,majorized,False,923.1675260422995,0.5005343580493319,0.0,0.04221967680351152,0.0
w12_random_safe,12,0.8030888030888031,-0.22595412709043483,0.7977546961553519,-0.544265125622033,-1.049160758270773e-14,24,below,majorized,False,917.1603117798182,0.49578306184169774,0.0,0.045355427135169414,0.0
w12_random_safe,12,0.8648648648648649,-0.2607180792114079,0.7704981084329574,-0.5810810519298705,9.992007221626409e-16,24,below,majorized,False,910.78141992166,0.4907547228811724,7.993605777301127e-14,0.04842342099415587,0.0
w12_random_safe,12,0.9266409266409267,-0.2977308866231603,0.7425011298498353,-0.6170696272527678,3.608224830031759e-16,24,below,majorized,False,904.0505410489076,0.48546792576878645,2.886579864025407e-14,0.05142246893773065,0.0
w12_random_safe,12,0.9884169884169884,-0.33694105655271134,0.7139509213909956,-0.6522188505855492,-2.1649348980190553e-15,24,below,majorized,False,896.9876784220405,0.4799414706277009,0.0,0.0543515708821291,0.0
w12_random_safe,12,1.0501930501930503,-0.37829642398960406,0.6850274120087266,-0.686518951425699,-3.2751579226442118e-15,24,below,majorized,False,889.6130444773349,0.474194260351573,0.0,0.05720991261880825,0.0
w12_random_safe,12,1.111969111969112,-0.42174428792946284,0.6559017399429903,-0.719962338082344,-5.190292640122607e-15,24,below,majorized,False,881.946961463897,0.46824519347932236,0.0,0.059996861506862,0.0
