surface_id,role_code,accepted_flag,source_action_flag,height_action_flag,vector_flag,anomaly_flag,selector_flag,lift_boundary_flag,row_count,gap_flag
0,0,1,1,0,0,0,0,0,543,0
1,1,1,1,0,0,0,0,0,543,0
2,2,1,1,0,0,0,0,0,23,0
3,3,1,1,0,0,0,0,0,543,0
4,4,1,1,0,0,1,0,0,543,0
5,5,1,1,0,0,0,1,0,543,1
6,6,1,0,1,0,0,0,0,56,0
7,7,1,0,1,0,0,0,0,2048,0
8,8,1,0,1,0,0,0,0,2048,0
9,9,1,0,1,1,0,0,0,2048,0
10,10,1,0,1,1,0,0,0,2048,0
11,11,1,0,1,1,0,0,1,56,1
