edge_id,source_surface_id,target_surface_id,edge_code,closed_flag,gap_flag
0,0,1,0,1,0
1,0,2,1,1,0
2,0,3,2,1,0
3,3,4,3,1,0
4,0,4,4,1,0
5,5,4,5,1,0
6,6,7,6,1,0
7,7,8,7,1,0
8,8,9,8,1,0
9,9,10,9,1,0
10,8,11,10,0,1
11,9,11,11,0,1
12,4,11,12,0,1
13,5,11,13,0,1
14,10,11,14,0,1
