invariant_id,group_code,invariant_code,value,certified_flag,open_gap_flag
0,0,0,12,1,0
1,0,1,12,1,0
2,1,2,543,1,0
3,1,3,63,1,0
4,1,4,480,1,0
5,1,5,10,1,0
6,1,6,6,1,0
7,1,7,1,1,0
8,1,8,1,1,0
9,1,9,256,1,0
10,2,10,543,1,0
11,2,11,480,1,0
12,2,12,63,1,0
13,2,13,543,1,0
14,2,14,480,1,0
15,2,15,1023,1,0
16,3,16,2048,1,0
17,3,17,2047,1,0
18,3,18,2020,1,0
19,3,19,374784,1,0
20,3,20,-374784,1,0
21,3,21,812611,1,0
22,3,22,10564608,1,0
23,4,23,56,1,0
24,4,24,28,1,0
25,4,25,28,1,0
26,4,26,0,1,0
27,4,27,2048,1,0
28,4,28,607600,1,0
29,4,29,2048,1,0
30,4,30,0,1,0
31,5,31,71,1,0
32,5,32,472,1,0
33,5,33,3072,1,0
34,5,34,79,1,0
35,5,35,944,1,0
36,6,36,543,1,0
37,6,37,0,1,1
38,6,38,3,1,0
39,6,39,173,1,0
40,6,40,130,1,0
41,7,41,56,1,0
42,7,42,33,1,0
43,7,43,23,1,0
44,7,44,6,1,0
45,7,45,0,1,1
46,7,46,0,1,1
47,7,47,0,1,1
48,7,48,0,1,1
