transition_id,from_state_id,to_state_id,generator_source_code,generator_source_row_id,intervention_size,conductance_drop_x1e12,eta6_delta,holonomy_delta,support_changed_sum,old_cut_edge_min,horizontal_flag,metric_nonzero_flag,ordinary_descent_flag,surgery_flag,post_positive_flag,admissible_transition_flag
0,0,1,1,81,3,679369000,0,0,0,6,1,1,1,0,1,1
1,1,2,3,2,1,1004132000,0,0,0,6,1,1,1,0,1,1
2,2,3,4,20,2,29984000,0,0,0,6,1,1,1,0,1,1
3,3,4,5,10,3,4553000,0,0,0,6,1,1,1,0,1,1
