observable_id,observable_code,value,scale_code
0,0,1,0
1,1,7716,0
2,2,20,0
3,3,30,0
4,4,12,0
5,5,60,0
6,6,90,0
7,7,32,0
8,8,1,0
9,9,1,0
10,10,1,0
11,11,606,0
12,12,606,0
13,13,153,0
14,14,0,0
15,15,0,0
16,16,606,0
17,17,0,0
18,18,1,0
19,19,5,0
20,20,4,0
21,21,5,0
22,22,4,0
23,23,4,0
24,24,0,0
25,25,1,0
26,26,0,0
27,27,1718038000,0
28,28,2610966000,0
29,29,5,0
30,30,1,0
31,31,0,0
32,32,0,0
33,33,1,0
