state_id,stage_code,source_code,source_row_id,intervention_size,block_code_0,block_code_1,block_code_2,height_x1e12,positive_height_flag,eta6_holonomy_pairing,eta6_relative_class_nonzero_flag,support_changed_flag,old_cut_edge_still_cut_count,discriminant_stratum_flag,surgery_certified_flag,admissible_state_flag
0,0,-1,-1,0,-1,-1,-1,4329004000,1,1,1,0,6,1,0,1
1,1,1,81,3,5255,1252,5252,3649635000,1,1,1,0,6,1,0,1
2,2,3,2,1,2114,-1,-1,2645503000,1,1,1,0,6,1,0,1
3,3,4,20,2,2114,5255,-1,2615519000,1,1,1,0,6,1,0,1
4,4,5,10,3,2114,5255,1521,2610966000,1,1,1,0,6,1,0,1
