source_code,row_count,horizontal_row_count,conductance_decreasing_row_count,conductance_decreasing_horizontal_count,support_changing_count,aperture_preserved_count,min_cut_conductance_x1e12,best_decreasing_cut_conductance_x1e12,best_decreasing_reduction_x1e12,eta6_delta_rank,metric_image_nonzero_flag
0,45,45,16,16,0,45,3708282000,3708282000,620722000,0,1
1,84,84,25,25,0,84,3649635000,3649635000,679369000,0,1
2,382,382,63,63,0,382,3649635000,3649635000,679369000,0,1
3,21,21,3,3,0,21,2645503000,2645503000,1683501000,0,1
4,28,28,24,24,0,28,2615519000,2615519000,1713485000,0,1
5,26,26,22,22,0,26,2610966000,2610966000,1718038000,0,1
6,20,20,0,0,0,20,4670913000,-1,-1,0,0
