boundary_row_id,complex_code,vertex_count,edge_count,face_count,cubic_flag,planar_flag,three_vertex_connected_flag,eta6_carrier_flag,positive_cone_proxy_flag,exterior_circuit_matrix_available_flag
0,0,20,30,12,1,1,1,0,0,0
1,1,60,90,32,1,1,1,1,1,0
2,2,12,6,0,0,0,0,1,0,0
