integrity_type,count,status,source
C,214,PRESENT,audit/cvx_frat_surface_route_audit.json
V,0,NOT_DETECTED,audit/cvx_frat_surface_route_audit.json
X,0,NOT_DETECTED,audit/cvx_frat_surface_route_audit.json
extension_variables,0,NOT_DETECTED,audit/cvx_frat_surface_route_audit.json
native_xor_or_gf2_steps,0,NOT_DETECTED,audit/cvx_frat_surface_route_audit.json
cutting_plane_or_pb_steps,0,NOT_DETECTED,audit/cvx_frat_surface_route_audit.json
spectral_or_fourier_steps,0,NOT_DETECTED,audit/cvx_frat_surface_route_audit.json
