quotient_generator,zero_sector_count,zero_sectors,nonzero_sector_count,kernel_is_exact_sector33,zero_sectors_perennial_ids
z2_a12_parity,1,[33],38,True,a985pf.0f1476a5434aef02bb516590
z4_a42_clock,1,[33],38,True,a985pf.0f1476a5434aef02bb516590
