stabilizer_id,gl_index,matrix_rows,perm_1_to_7,perm_labels,fixes_P1,preserves_L3
0,76,100;010;001,1 2 3 4 5 6 7,001 010 011 100 101 110 111,True,True
1,77,100;010;011,1 3 2 4 5 7 6,001 011 010 100 101 111 110,True,True
2,78,100;010;101,1 2 3 5 4 7 6,001 010 011 101 100 111 110,True,True
3,79,100;010;111,1 3 2 5 4 6 7,001 011 010 101 100 110 111,True,True
4,88,100;110;001,1 2 3 6 7 4 5,001 010 011 110 111 100 101,True,True
5,89,100;110;011,1 3 2 6 7 5 4,001 011 010 110 111 101 100,True,True
6,90,100;110;101,1 2 3 7 6 5 4,001 010 011 111 110 101 100,True,True
7,91,100;110;111,1 3 2 7 6 4 5,001 011 010 111 110 100 101,True,True
