orbit_id,size,representative,ordered_pairs,source_zones,target_zones,diagonal_count
1,8,011->100,010->100 010->101 010->110 010->111 011->100 011->101 011->110 011->111,L3_minus_P1,F7_minus_L3,0
2,8,100->011,100->010 100->011 101->010 101->011 110->010 110->011 111->010 111->011,F7_minus_L3,L3_minus_P1,0
3,2,011->001,010->001 011->001,L3_minus_P1,P1_point,0
4,4,101->100,100->101 101->100 110->111 111->110,F7_minus_L3,F7_minus_L3,0
5,8,100->110,100->110 100->111 101->110 101->111 110->100 110->101 111->100 111->101,F7_minus_L3,F7_minus_L3,0
6,4,101->001,100->001 101->001 110->001 111->001,F7_minus_L3,P1_point,0
7,2,001->010,001->010 001->011,P1_point,L3_minus_P1,0
8,4,001->101,001->100 001->101 001->110 001->111,P1_point,F7_minus_L3,0
9,2,010->010,010->010 011->011,L3_minus_P1,L3_minus_P1,2
10,2,011->010,010->011 011->010,L3_minus_P1,L3_minus_P1,0
11,4,100->100,100->100 101->101 110->110 111->111,F7_minus_L3,F7_minus_L3,4
12,1,001->001,001->001,P1_point,P1_point,1
