atom_id,atom_flow_mass_x1e12,active_flow,atom_slot_count,source_node_count,sector_mask,signature_class_count,tensor_path_coefficient_mass,poincare_x_x1e12,poincare_y_x1e12,poincare_radius_x1e12,atom_flow_rank,complement_atom_id,complement_flow_mass_x1e12
0,0,0,0,0,7,50,9600,-468912553400,-779885259000,910000000000,7,19,170550171063
1,77350993273,1,4,4,11,69,32256,60477077300,-211252190800,219738401300,5,18,0
2,0,0,0,0,19,81,33024,-184726040900,51775355700,191844722800,8,17,0
3,0,0,0,0,35,72,46080,-359440192700,86731589500,369756163900,9,16,0
4,85180709940,1,4,4,13,70,33024,90849806600,-181563331700,203024458600,4,15,0
5,0,0,0,0,21,70,22976,-170004532500,95463329700,194973814700,10,14,0
6,0,0,0,0,37,67,36864,-384010609100,153943674100,413718264900,11,13,0
7,275942307799,1,8,7,25,97,83712,-16669601900,78213640600,79970302000,2,12,330723741064
8,0,0,0,0,41,90,122880,-28844105700,143711054100,146577111100,12,11,60252076861
9,0,0,0,0,49,110,112640,-66457121000,131870358300,147669700100,13,10,0
10,0,0,0,0,14,55,16512,681428421800,-554164998300,878318586500,14,9,0
11,60252076861,1,4,4,22,53,10624,45857209800,-122436507500,130742426400,6,8,0
12,330723741064,1,9,8,38,58,19584,-164396496300,-29281239900,166983828500,1,7,275942307799
13,0,0,0,0,26,70,38400,345293934700,162296237600,381533707700,15,6,0
14,0,0,0,0,42,71,66048,191210222200,187508323300,267807244800,16,5,0
15,0,0,0,0,50,89,55808,-56268545400,144548321900,155114043800,17,4,85180709940
16,0,0,0,0,28,63,40960,351303557100,173838062200,391961555600,18,3,0
17,0,0,0,0,44,70,75264,226156049300,180720050900,289493169900,19,2,0
18,0,0,0,0,52,76,45440,-55185595600,146148942900,156220880400,20,1,77350993273
19,170550171063,1,7,7,56,97,165376,-37660884300,141814586300,146730089200,3,0,0
