sector_id,sector_label_code,sector_flow_mass_x1e12,active_atom_count,sector_flow_rank
0,0,146158003672,3,6
1,1,156108937067,3,5
2,2,158718842621,3,4
3,3,203008060691,4,1
4,4,168914851907,3,2
5,5,167091304042,2,3
