horizon_id,sample_count,sum_state_count,component_path_count,raw_support_path_count_digits,raw_support_path_count_mod_1000000007,raw_support_path_count_mod_1000000009,raw_coeff_path_mass_digits,raw_coeff_path_mass_mod_1000000007,raw_coeff_path_mass_mod_1000000009,selected_witness_count,missing_component_path_count,gap_sum_state_count,gap_component_path_count,compressed_raw_product_family_flag,materialized_raw_path_family_flag,exact_composable_raw_path_family_flag
0,1,3,3,7,1096591,1096591,7,1985840,1985840,3,0,0,0,1,0,0
1,2,5,9,13,511812867,511810463,13,560477999,560470113,5,4,0,0,1,0,0
2,3,7,27,19,379707654,742380419,19,621743027,959182893,7,20,0,0,1,0,0
3,4,9,81,25,993092833,678724846,26,164094906,739092073,9,72,0,0,1,0,0
4,5,11,243,31,655209191,550901439,32,225849978,589036858,11,232,0,0,1,0,0
5,6,13,729,37,496938409,554457432,38,917172013,943563132,13,716,0,0,1,0,0
6,7,15,2187,43,183049153,24342195,45,857546428,393186995,15,2172,0,0,1,0,0
7,8,17,6561,49,52332313,431717008,51,986658877,455123546,17,6544,0,0,1,0,0
8,9,19,19683,55,143043274,981258984,57,650586258,534454422,19,19664,19,19683,1,0,0
9,10,21,59049,61,965780921,760839193,63,205543000,959832420,21,59028,21,59049,1,0,0
10,11,23,177147,67,658526849,403982102,70,508262775,595778143,23,177124,23,177147,1,0,0
11,12,25,531441,73,610816821,133227255,76,542040704,56847040,25,531416,25,531441,1,0,0
12,13,27,1594323,79,223868499,807472850,82,104096518,124897599,27,1594296,27,1594323,1,0,0
13,14,29,4782969,85,179468465,452085147,89,27858087,645765926,29,4782940,29,4782969,1,0,0
14,15,31,14348907,91,502125194,498972109,95,703100833,794946357,31,14348876,31,14348907,1,0,0
15,16,33,43046721,97,964759279,319055907,101,748431005,259377156,33,43046688,33,43046721,1,0,0
