observable_id,observable_code,value
0,0,3
1,1,288
2,2,16
3,3,80
4,4,208
5,5,64570080
6,6,64560240
7,7,288
8,8,64569792
9,9,1096591
10,10,1985840
11,11,288
12,12,288
13,13,16
14,14,96
15,15,101
16,16,97
17,17,101
18,18,1
19,19,0
20,20,0
21,21,5
22,22,0
