class_id,transition_type_code,successor_side_mask,predecessor_side_mask,domain_code,x_min_kind,x_min_const,x_max_kind,x_max_const,certified_transition_count,probe_state_count
0,0,0,0,0,0,0,0,0,111,129
1,9,0,0,1,0,0,0,0,111,129
2,18,0,0,2,0,0,0,0,111,129
3,27,0,0,3,0,0,0,0,111,129
4,36,0,0,4,0,4,1,-4,7215,23865
5,36,0,4,5,1,-3,1,-3,111,129
6,44,4,4,6,0,0,0,0,111,129
7,53,4,4,7,0,0,0,0,111,129
8,54,4,4,8,0,0,0,0,111,129
9,54,14,14,9,0,1,0,1,111,129
10,54,15,15,10,0,2,1,-2,7659,24381
11,62,15,15,11,0,0,0,0,111,129
12,63,15,15,12,0,0,0,0,111,129
