invariant_id,invariant_name,value_num,value_den,value_num_digits,value_den_digits,value_num_mod_1000000007,value_den_mod_1000000007,value_num_mod_1000000009,value_den_mod_1000000009,value_sha256
0,trace,335574112642337499528184326282188441831407972863443094949294667749550682654275105435863666889908924249428991709511512380417246517883795162468437542955080191894061811588966426712684969797998605048820732226514832031770317572822285978769523470182907985693750249,344515856948862259599448218321133283762099476735535929390815528050733488097979072190043773953176369142065802422162412544621863315865825528432937556374368110766363724995398120284092382851259854210426809038886415137593090585147172976983157828457395687449572,258,255,338120233,37512555,730926963,407042630,aeecacdc00b81f37cb0ea08a895059647dbbdbd10af3219b14b7285da89e6411
1,tree_cofactor,48844348138372411009048291167872741280472788906768651940851375988097283588622443534695602501954599624123129353575269944997522760077331701699700517923068048622319661273446153089063905576209976745614297075852192610852282201759013510523450696817553406592401509267,689031713897724519198896436642266567524198953471071858781631056101466976195958144380087547906352738284131604844324825089243726631731651056865875112748736221532727449990796240568184765702519708420853618077772830275186181170294345953966315656914791374899144,260,255,489501615,75025110,776504119,814085260,00b14c805cd8504fd41997bd30b41417223cc5142287ee57c7e2fc85e1dea968
2,pseudodeterminant,48844348138372411009048291167872741280472788906768651940851375988097283588622443534695602501954599624123129353575269944997522760077331701699700517923068048622319661273446153089063905576209976745614297075852192610852282201759013510523450696817553406592401509267,229677237965908173066298812214088855841399651157023952927210352033822325398652714793362515968784246094710534948108275029747908877243883685621958370916245407177575816663598746856061588567506569473617872692590943425062060390098115317988771885638263791633048,260,255,489501615,25008370,776504119,938028426,65c9c386bf5cfabb118f5c847b6a774d0156a29d2cb6d56f7a7e45bf279fe781
3,discriminant,11644070339692599416713749407266775540186839267911843322422979488174312549570736554681262650221688145861384171708112466413207628536681917199895637178882458039326105827531516993688839899765484045260623156840750911066521012869818752769040159196815787756792321503447858632126075487819874207382459363514084390276282978538313705109372211058438468366130460568101783648187728359610524488361842469378198606498160973114326158798488793475027431151981073836649740430198876018465467344202378682534582173942028783513161468459657,118691175689208924084335827817330894829550799758959022308146195919376393507597383791991158951813076130280587798356088928668054084195201504663318461322999798785327461329726269145273986473681342398463197637042665655258981427654180365223543629976453508996205028301272686757499829139449190578240334814661526466258039215327616250414847156366642517324135262234351821547436143416607078380708835401155884179967289123016758368907438980935107821451578473948935899979453105584759771679340607760730948996698556794042983184,515,510,403262461,772777688,678352473,146163591,3cfdcef442cddb851fb89e1a18717f0ea7f56e97fd57f03358dceba967f5e5b8
