branch_order_rank,negative_carrier_mask_class_id,first_prefix_length,first_boundary_mask_edge_id,first_phase_code,previous_obstruction_flag,positive_carrier_count,positive_carrier_bitset,positive_symbol_bitset,negative_symbol_bitset,corridor_symbol_bitset,corridor_symbol_count,missing_symbol_bitset,full_alphabet_coverage_flag,first_shared_symbol_id,shared_symbol_bitset,shared_symbol_count,total_edge_count,central_negative_edge_count,high_negative_edge_count,total_flux_for_branch_x1e12,total_entropy_for_branch_x1e12
1,13,1,14,-1,0,3,7168,47,48,63,6,0,1,5,32,1,3,3,0,87549940842,296369606146
2,7,3,2,-1,1,4,6153,47,25,63,6,0,1,0,9,2,4,3,1,64364186690,250608672067
3,8,5,3,-1,1,4,6154,47,26,63,6,0,1,1,10,2,4,3,1,46255508005,196819587994
4,9,8,11,0,0,3,7168,47,32,47,5,16,0,5,32,1,3,3,0,29476582980,131871227719
5,6,12,5,1,0,1,4096,44,24,60,4,3,0,3,8,1,1,1,0,8492755176,40218963410
6,4,14,4,1,1,1,4096,44,8,44,3,19,0,3,8,1,1,1,0,2823477696,16480422590
