target,basis,term,coefficient,explained_frobenius_fraction,rmse
P_G,zone_no_intercept_absorbed,P1_point,170.68664148383826,0.5859774876726351,140.72085552430835
P_G,zone_no_intercept_absorbed,L3_minus_P1,116.82527584477789,0.5859774876726351,140.72085552430835
P_G,zone_no_intercept_absorbed,F7_minus_L3,-114.37091149774308,0.5859774876726351,140.72085552430835
P_G,zone_with_intercept_redundant,intercept,43.28525145771734,0.5859774876726351,140.72085552430835
P_G,zone_with_intercept_redundant,P1_point,127.40139002612119,0.5859774876726351,140.72085552430835
P_G,zone_with_intercept_redundant,L3_minus_P1,73.54002438706014,0.5859774876726351,140.72085552430835
P_G,zone_with_intercept_redundant,F7_minus_L3,-157.65616295546428,0.5859774876726351,140.72085552430835
Pi_flag,zone_no_intercept_absorbed,P1_point,170.68664148383843,1.0,1.7619767570820258e-13
Pi_flag,zone_no_intercept_absorbed,L3_minus_P1,116.82527584477806,1.0,1.7619767570820258e-13
Pi_flag,zone_no_intercept_absorbed,F7_minus_L3,-114.37091149773079,1.0,1.7619767570820258e-13
Pi_flag,zone_with_intercept_redundant,intercept,43.285251457721415,1.0,2.834861828352228e-13
Pi_flag,zone_with_intercept_redundant,P1_point,127.40139002611744,1.0,2.834861828352228e-13
Pi_flag,zone_with_intercept_redundant,L3_minus_P1,73.54002438705614,1.0,2.834861828352228e-13
Pi_flag,zone_with_intercept_redundant,F7_minus_L3,-157.6561629554525,1.0,2.834861828352228e-13
R_Omega,zone_no_intercept_absorbed,P1_point,-3.0299135714399093e-13,0.0,140.72085552430832
R_Omega,zone_no_intercept_absorbed,L3_minus_P1,-1.8306983284138094e-13,0.0,140.72085552430832
R_Omega,zone_no_intercept_absorbed,F7_minus_L3,-1.1999438809541085e-11,0.0,140.72085552430832
R_Omega,zone_with_intercept_redundant,intercept,-4.1227662802301185e-12,0.0,140.72085552430835
R_Omega,zone_with_intercept_redundant,P1_point,3.827989671340359e-12,0.0,140.72085552430835
R_Omega,zone_with_intercept_redundant,L3_minus_P1,4.07688678145592e-12,0.0,140.72085552430835
R_Omega,zone_with_intercept_redundant,F7_minus_L3,-1.2027642733026408e-11,0.0,140.72085552430835
