line_id,points,point_labels,bitmask
1,"(1, 2, 3)",001 010 011,7
2,"(1, 4, 5)",001 100 101,25
3,"(1, 6, 7)",001 110 111,97
4,"(2, 4, 6)",010 100 110,42
5,"(2, 5, 7)",010 101 111,82
6,"(3, 4, 7)",011 100 111,76
7,"(3, 5, 6)",011 101 110,52
