,BLUFF_ENGINE,CURVATURE_INJECTOR,DIVERGENCE_TAX,EXTRACTOR_LURE,FACE12_DENIAL,FACE15_DENIAL,FACE17_DENIAL,HOMOLOGY_PUNCTURE,H_MASK_SPLIT,KERNEL_DRIP,KERNEL_SPIKE,MONODROME_CONTAMINATOR,NONE,OMEGA_LOCK,RANDOM_JABBER,RANK4_TAX
BASIN_SWITCHER,-51.6514273634679,50.180129349495076,36.614145553198796,11.667108516161733,90.52601476616175,4.1149325902358385,83.20878096986547,38.37804601616173,63.930129349495076,30.38846268282839,-252.86801301161603,-110.2599458819864,80.18012934949508,80.18012934949508,-65.16641868291234,-164.37991694680122
BLUFF_REVEAL,10.211385518190184,70.25301129393955,24.79879833097658,9.868352703704602,70.93634462727286,71.01967796060623,71.18634462727286,52.09259462727286,68.39884462727287,69.66967796060621,52.14899509023584,-79.56135024534089,71.25301129393955,71.25301129393955,22.216834510642016,64.63634462727293
CURVATURE_ZERO,-76.42094132861706,240.81257147912473,121.81104370134696,2.5133150498337216,149.39978212727286,242.56934809949504,242.19565018282836,240.32220978930988,241.10453907171726,239.14056337727297,138.54023351616175,-102.06085549180435,242.99915712727287,242.72294184949502,-129.1588103251243,159.14991522912467
DIVERGENCE_MIN,-21.21932088198639,76.11391407171729,108.88891407171727,17.37016407171734,104.40558073838397,106.25558073838394,104.8222474050506,64.46808073838397,90.65558073838397,56.488914071717346,-234.27085444680122,-71.1097086134679,105.86391407171729,105.86391407171729,-44.30900259494936,-154.92362643754197
EMERGENCE_SEEKER,-480.9052178727271,-409.91671092828267,-278.1054030579123,-384.31523523383834,-297.28882898383847,-297.28882898383847,-297.28882898383847,-88.47663859031978,-303.53882898383847,-470.3352873171716,-433.4699400949494,-394.62823870606053,-297.28882898383847,-297.28882898383847,-270.3633544468012,-280.49651995606064
FACE12_ANCHOR,-69.1520234282827,40.27745573838399,48.699672173569155,-4.15981278013453,64.06125203468031,73.45245573838397,77.6521779606062,34.267039071717335,61.485789071717335,19.81912240505065,-263.47845861346786,-113.95792620606048,75.86078907171733,75.86078907171733,-111.2046304884679,-209.34852805791232
FACE15_ANCHOR,-39.24349333569012,56.87804601616173,56.131124719865454,14.307328423569146,88.11184231245804,91.89100897912473,91.83729948838393,46.805129349495076,84.79471268282839,38.961379349495076,-259.53431509494936,-95.1805998171716,91.87804601616179,91.87804601616179,-66.19011081254197,-147.08918778013455
FACE17_ANCHOR,-87.91277574309751,11.3101293494951,-6.957272270875308,-29.393261854208617,44.6851293494951,35.29346268282842,49.64670921060619,16.018462682828442,48.4351293494951,-9.481537317171586,-287.2218613912456,-131.72992273383827,47.39346268282844,47.39346268282844,-106.49529310420863,-190.75822134494936
H2047_PURIST,-38.941551822894326,138.80641407171728,142.41906453468025,78.18022673496179,176.12308073838395,151.28974740505063,168.3897474050506,108.50891407171733,160.55641407171728,81.47308073838394,-221.57443662272715,-52.220165840234,230.2230807383839,150.6397474050506,-90.63517933908372,-92.78891578939383
H954_CORRIDOR,-121.8218671782827,-11.615808150504932,-17.45268893754195,-56.23735907643086,34.13808073838399,30.226032127272845,32.236900182828435,-16.964028636616035,23.571691849495068,-68.74080815050493,-279.0042398634679,-146.56374217828272,29.509191849495068,29.509191849495068,-180.93564321994938,-209.30079657643086
MONODROME_PURIST,71.5087384722803,99.25627518282843,79.40656453468023,154.62673039584854,130.27294184949508,0.503462682828399,130.02294184949508,89.92294184949506,121.54794184949506,82.17294184949503,-200.58772365976418,168.680518942202,137.58960851616175,137.58960851616175,0.5008513856303978,-124.61956972457898
Q4_BALANCER,-100.90866888428693,-1.4611900949493588,12.812311062458065,-22.89081105673347,56.172143238383995,11.964816849495065,56.18047657171735,-46.277856761616036,37.47630990505067,-39.67785676161603,-238.19069819680124,-96.81158845718215,61.955476571717355,59.24714323838401,-153.19209626332716,-148.2978972708753
ROBUST_REVEAL,163.47576490398612,135.76752518282845,135.35085851616176,165.44243157065276,136.8175251828284,136.68419184949508,136.55085851616175,124.72585851616176,134.71752518282838,134.80085851616175,103.8538504143099,192.4190081223729,137.13419184949507,137.13419184949507,140.4451775324369,121.5675251828284
SIGMA_MIN,-75.63473278119908,54.49662240505063,63.05464323838399,50.166228835691925,99.09113629393951,113.08828907171736,119.21328907171736,24.119426224495072,97.99662240505066,5.013289071717281,-239.42799565050495,-64.31235045942555,145.0382890717173,119.82995573838392,-123.0553348884632,-118.7746160208753
SPREAD_CONTROL,-67.2613415520753,20.51565018282838,16.646796016161773,-31.55138012384883,72.09720110875435,65.80731684949501,14.106969627272832,10.48174682634695,2.5458874513469425,-21.401016483838276,-241.7929609282827,-100.0918469617832,97.68231684949504,97.68231684949504,-91.70597874576748,-145.66678615976417
STOCHASTIC_CONTROL,-75.71778153013454,64.47730238190249,19.534102150421035,-7.511311622727135,66.59344242819878,67.59044474301362,72.00028559949507,-2.647677363467892,60.98251071523583,9.506023446717336,-257.99291752550494,-138.42914437735678,79.81599451153215,87.31631569208767,-135.09371903013457,-174.837850974579
