scale_id,cell_width,grid_cell_count,raw_pair_count,raw_lookup_count,new_unique_candidate_count
0,1048576,487334,498,1070,114
1,2097152,487135,8042,17316,1661
2,4194304,484709,125055,268567,25993
3,8388608,449585,1960032,4212338,407071
