rank,p15_id,p5_a,p5_b,p5_c,p5_d,p5_e,p5_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p14_floor_flag,below_p11_floor_flag,below_p8_floor_flag,below_p7_floor_flag,below_p6_floor_flag,below_p5_floor_flag,support_equal_flag,joint_mult_value
0,58834,1,47,57,79,110,128,12,12,22,22,26,26,30,30,45,45,51,51,0,0,1083830080,1083830080,1084205056,1084205056,1084322816,1083830080,1084322816,492736,1,1,1,1,1,1,0,5877006336
1,154192,6,12,19,29,94,96,12,12,12,12,22,26,30,30,30,30,45,51,0,0,407816896,408980992,408487488,408772096,408123904,407816896,408980992,1164096,0,1,1,1,1,1,0,4242014208
2,232509,11,22,37,44,48,142,12,12,12,12,22,26,30,30,30,30,45,51,0,0,408980992,407816896,408772096,408487488,408123904,407816896,408980992,1164096,0,1,1,1,1,1,0,4000186368
3,167071,6,25,80,96,102,116,12,12,22,26,26,26,30,30,45,51,51,51,0,0,286266112,285122912,285897984,285745792,284918656,284918656,286266112,1347456,0,1,1,1,1,1,0,3737124864
4,365566,22,41,62,118,122,142,12,12,22,26,26,26,30,30,45,51,51,51,0,0,285122912,286266112,285745792,285897984,284918656,284918656,286266112,1347456,0,1,1,1,1,1,0,3645112320
5,263249,13,26,56,106,110,126,12,12,22,26,26,26,30,30,45,51,51,51,0,0,296906656,295488704,296266752,296479232,296215872,295488704,296906656,1417952,0,1,1,1,1,1,0,3897556992
6,351007,20,45,78,104,114,128,12,12,22,26,26,26,30,30,45,51,51,51,0,0,295488704,296906656,296479232,296266752,296215872,295488704,296906656,1417952,0,1,1,1,1,1,0,3324248064
7,353342,21,27,100,104,126,138,12,12,26,26,26,26,30,30,51,51,51,51,0,0,443566304,443566304,442864000,442864000,444333056,442864000,444333056,1469056,0,1,1,1,1,1,0,4454350848
8,241478,12,14,24,62,126,133,12,12,12,22,26,26,30,30,30,45,51,51,0,0,614092928,613077312,612694528,612620672,613826688,612620672,614092928,1472256,0,1,1,1,1,1,0,4794089472
9,402905,32,40,44,80,104,125,12,12,12,22,26,26,30,30,30,45,51,51,0,0,613077312,614092928,612620672,612694528,613826688,612620672,614092928,1472256,0,1,1,1,1,1,0,4220780544
10,300230,15,82,116,118,132,137,12,22,26,26,26,26,30,45,51,51,51,51,0,0,882048000,881043936,880897792,881250304,880555008,880555008,882048000,1492992,0,1,1,1,1,1,0,6020923392
11,408265,33,50,102,121,122,124,12,22,26,26,26,26,30,45,51,51,51,51,0,0,881043936,882048000,881250304,880897792,880555008,880555008,882048000,1492992,0,1,1,1,1,1,0,4992270336
12,59449,2,3,4,9,50,102,12,12,12,12,22,26,30,30,30,30,45,51,0,0,381030496,382028960,382498688,381064192,381005312,381005312,382498688,1493376,0,1,1,1,1,1,0,4086300672
13,399352,31,34,35,42,82,118,12,12,12,12,22,26,30,30,30,30,45,51,0,0,382028960,381030496,381064192,382498688,381005312,381005312,382498688,1493376,0,1,1,1,1,1,0,3743023104
14,23344,0,18,34,66,86,143,12,12,12,22,22,26,30,30,30,45,45,51,0,0,681529280,681749184,682452672,682945856,683072416,681529280,683072416,1543136,0,1,1,1,1,1,0,5034737664
15,70492,2,10,46,58,64,97,12,12,12,22,22,26,30,30,30,45,45,51,0,0,681749184,681529280,682945856,682452672,683072416,681529280,683072416,1543136,0,1,1,1,1,1,0,4752801792
16,116971,4,10,12,22,24,136,12,12,12,12,12,26,30,30,30,30,30,51,0,0,207418240,206604800,207830144,206252032,206786944,206252032,207830144,1578112,0,1,1,1,1,1,0,3019898880
17,161547,6,18,40,42,44,120,12,12,12,12,12,26,30,30,30,30,30,51,0,0,206604800,207418240,206252032,207830144,206786944,206252032,207830144,1578112,0,1,1,1,1,1,0,2848849920
18,221261,10,26,41,94,114,128,12,12,12,22,26,26,30,30,30,45,51,51,0,0,271567360,272779104,272060928,271134976,271907520,271134976,272779104,1644128,0,1,1,1,1,1,0,3244032000
19,321805,18,20,25,48,106,110,12,12,12,22,26,26,30,30,30,45,51,51,0,0,272779104,271567360,271134976,272060928,271907520,271134976,272779104,1644128,0,1,1,1,1,1,0,3784310784
20,46868,1,14,32,47,57,79,12,12,12,12,22,22,30,30,30,30,45,45,0,0,1054627840,1054627840,1056264192,1056264192,1056295424,1054627840,1056295424,1667584,0,1,1,1,1,1,0,5612765184
21,209419,10,12,40,66,124,128,12,12,12,22,26,26,30,30,30,45,51,51,0,0,226904768,227446784,228471936,226687104,227771712,226687104,228471936,1784832,0,1,1,1,1,1,0,3025797120
22,324914,18,24,44,58,110,132,12,12,12,22,26,26,30,30,30,45,51,51,0,0,227446784,226904768,226687104,228471936,227771712,226687104,228471936,1784832,0,1,1,1,1,1,0,3393847296
23,64079,2,6,14,29,44,104,12,12,12,12,12,26,30,30,30,30,30,51,0,0,215334208,216688768,214891712,215995136,216075008,214891712,216688768,1797056,0,1,1,1,1,1,0,3459907584
24,249699,12,22,32,34,37,126,12,12,12,12,12,26,30,30,30,30,30,51,0,0,216688768,215334208,215995136,214891712,216075008,214891712,216688768,1797056,0,1,1,1,1,1,0,2739142656
25,25531,0,21,30,74,97,120,12,12,12,22,26,26,30,30,30,45,51,51,0,0,756891328,756072640,755877120,757700032,756435648,755877120,757700032,1822912,0,0,1,1,1,1,0,4756340736
26,191092,8,27,46,68,136,143,12,12,12,22,26,26,30,30,30,45,51,51,0,0,756072640,756891328,757700032,755877120,756435648,755877120,757700032,1822912,0,0,1,1,1,1,0,5743706112
27,285449,15,16,33,38,96,142,12,12,12,12,26,26,30,30,30,30,51,51,0,0,368839552,368839552,370520640,370520640,370673536,368839552,370673536,1833984,0,0,1,1,1,1,0,4328128512
28,160382,6,17,32,62,138,140,12,12,12,22,26,26,30,30,30,45,51,51,0,0,335162176,333883136,334934144,335395712,333525888,333525888,335395712,1869824,0,0,1,1,1,1,0,4171235328
29,276252,14,22,39,80,100,108,12,12,12,22,26,26,30,30,30,45,51,51,0,0,333883136,335162176,335395712,334934144,333525888,333525888,335395712,1869824,0,0,1,1,1,1,0,3324248064
30,69660,2,10,24,36,66,140,12,12,12,12,22,26,30,30,30,30,45,51,0,0,222050048,222293088,220554368,221181312,220420096,220420096,222293088,1872992,0,0,1,1,1,1,0,3271163904
31,327129,18,28,34,40,58,108,12,12,12,12,22,26,30,30,30,30,45,51,0,0,222293088,222050048,221181312,220554368,220420096,220420096,222293088,1872992,0,0,1,1,1,1,0,2978611200
