shell,support_mask,support_size,labels,label_count,profile,max_F,arg_t,root_count,endpoint_left_F,endpoint_right_F,exceeds_tolerance
12,0,0,complement:deterministic_random;complement:full;complement:indicator_worst_shell_12;complement:indicator_worst_shell_16;complement:prefix_k24;complement:w24_shell_support_w24;deterministic_random;empty,11,"2576,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,1,0.0,0.0,False
16,0,0,complement:deterministic_random;complement:full;complement:indicator_worst_shell_12;complement:indicator_worst_shell_16;complement:prefix_k24;complement:w24_shell_support_w24;deterministic_random;empty,11,"759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,1,0.0,0.0,False
12,1,1,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k1;singleton_0,4,"1288,1288,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.43778949404716805,-421.62482419847225,False
16,1,1,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k1;singleton_0,4,"253,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.7581353733177414,-574.9810344653246,False
12,2,1,singleton_1,1,"1288,1288,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.43778949404716805,-421.62482419847225,False
16,2,1,singleton_1,1,"253,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.7581353733177414,-574.9810344653246,False
12,3,2,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k2,3,"616,1344,616,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.9086778617529463,-386.5213062249627,False
16,3,2,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k2,3,"77,352,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-1.5921053396249087,-540.9536559246311,False
12,4,1,singleton_2,1,"1288,1288,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.43778949404716805,-421.62482419847225,False
16,4,1,singleton_2,1,"253,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.7581353733177414,-574.9810344653246,False
12,7,3,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k3,3,"280,1008,1008,280,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-1.4180151283078581,-349.74255423397597,False
16,7,3,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k3,3,"21,168,360,210,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-2.5192281986760254,-504.64936191323943,False
12,8,1,complement:deterministic_random;singleton_3,2,"1288,1288,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.43778949404716805,-421.62482419847225,False
16,8,1,complement:deterministic_random;singleton_3,2,"253,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.7581353733177414,-574.9810344653246,False
12,15,4,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k4,3,"120,640,1056,640,120,0,0,0,0,0,0,0,0",0.0,0.0,3,-1.9725720036784686,-312.3159445290739,False
16,15,4,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k4,3,"5,64,240,320,130,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-3.5639914106098907,-467.43039157311557,False
12,16,1,deterministic_random;singleton_4,2,"1288,1288,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.43778949404716805,-421.62482419847225,False
16,16,1,deterministic_random;singleton_4,2,"253,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.7581353733177414,-574.9810344653246,False
12,31,5,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k5,3,"48,360,880,880,360,48,0,0,0,0,0,0,0",0.0,0.0,3,-2.5811029692273197,-274.5710965688333,False
16,31,5,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k5,3,"1,20,120,280,260,78,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-4.763082967943586,-429.7263656073953,False
12,32,1,deterministic_random;singleton_5,2,"1288,1288,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.43778949404716805,-421.62482419847225,False
16,32,1,deterministic_random;singleton_5,2,"253,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.7581353733177414,-574.9810344653246,False
12,63,6,indicator_worst_shell_12;indicator_worst_shell_16;mog_row_0;prefix_k6;w24_row_mask,5,"18,180,630,920,630,180,18,0,0,0,0,0,0",0.0,0.0,3,-3.237528894617392,-236.6458551626087,False
16,63,6,indicator_worst_shell_12;indicator_worst_shell_16;mog_row_0;prefix_k6;w24_row_mask,5,"0,6,45,180,285,198,45,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-42.53878572855332,-391.73498439866614,False
12,64,1,deterministic_random;singleton_6,2,"1288,1288,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.43778949404716805,-421.62482419847225,False
16,64,1,deterministic_random;singleton_6,2,"253,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.7581353733177414,-574.9810344653246,False
12,127,7,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k7,3,"6,82,390,810,810,390,82,6,0,0,0,0,0",0.0,0.0,3,-3.993190700245811,-198.66937153024037,False
16,127,7,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k7,3,"0,1,15,85,225,267,141,25,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-43.87327788706179,-353.55597650218635,False
12,128,1,complement:deterministic_random;deterministic_random;singleton_7,3,"1288,1288,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.43778949404716805,-421.62482419847225,False
16,128,1,complement:deterministic_random;deterministic_random;singleton_7,3,"253,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.7581353733177414,-574.9810344653246,False
12,164,3,deterministic_random,1,"280,1008,1008,280,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-1.4180151283078581,-349.74255423397597,False
16,164,3,deterministic_random,1,"21,168,360,210,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-2.5192281986760254,-504.64936191323943,False
12,255,8,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k8,3,"2,32,216,608,860,608,216,32,2,0,0,0,0",0.0,0.0,3,-4.728055258015311,-160.56917217465565,False
16,255,8,indicator_worst_shell_12;indicator_worst_shell_16;prefix_k8,3,"0,0,4,32,130,256,228,96,13,0,0,0,0,0,0,0,0",0.0,0.0,3,-82.00198655141043,-315.27815411058924,False
12,256,1,singleton_8,1,"1288,1288,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.43778949404716805,-421.62482419847225,False
16,256,1,singleton_8,1,"253,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.7581353733177414,-574.9810344653246,False
12,258,2,complement:deterministic_random,1,"616,1344,616,0,0,0,0,0,0,0,0,0,0",0.0,0.0,3,-0.9086778617529463,-386.5213062249627,False
