invariant,value,status,source
strong_bundle_files,21,EVIDENCE_PRESENT,audit/external_analysis.json
parsed_external_events,88,EVIDENCE_PRESENT,audit/external_analysis.json
nonempty_external_routes,10,EVIDENCE_PRESENT,audit/external_analysis.json
rank_F2,5,EVIDENCE_PRESENT,audit/external_analysis.json
rank_F3,5,EVIDENCE_PRESENT,audit/external_analysis.json
rank_F5,5,EVIDENCE_PRESENT,audit/external_analysis.json
DRAT_proofs_verified,5/5,VERIFIED,audit/strong_cadical_drat_verification_summary.csv
cvx_proofs_audited,5,C_PUBLIC_PROOF_TRACE,audit/cvx_proof_route_audit.json
cvx_proof_steps,83,C_PUBLIC_PROOF_TRACE,audit/cvx_proof_route_audit.json
cvx_C_steps,83,C_PUBLIC_PROOF_TRACE,audit/cvx_proof_route_audit.json
cvx_V_steps,0,NOT_DETECTED,audit/cvx_proof_route_audit.json
cvx_X_steps,0,NOT_DETECTED,audit/cvx_proof_route_audit.json
cvx_extension_variables,0,NOT_DETECTED,audit/cvx_proof_route_audit.json
cvx_red_flags,0,NOT_DETECTED,audit/cvx_proof_route_audit.json
