raw_sector,separating_eigenvalue,regular_trace,block_dimension,q42_zero,q12_zero,public_zero_both,orbital_support_size,perennial_id,coordinate_fingerprint_id
0,7121,9,3,False,False,False,133,a985pf.c4677130926379bf1a8493b8,a985coord.de3d5c5b143c8513fa5ac63c
1,32258,1,1,False,False,False,86,a985pf.b0f0ffa7a70b464fb1c6be3b,a985coord.110286a1a8b1f401969b938e
2,88048,16,4,False,False,False,88,a985pf.40d225d7c9eb3b2b13df3c6f,a985coord.94156edfa9ed65e2bb412905
3,156154,4,2,False,False,False,190,a985pf.6cd0c272a8079b2d47dc4ed0,a985coord.a867de8ab97fae143e663619
4,199205,4,2,False,False,False,115,a985pf.8cf60f8da9783cf93a08b3c3,a985coord.3b43e81d41920f044a201f66
5,222285,1,1,False,False,False,12,a985pf.034e9541a05e71f5bb32c17d,a985coord.4ea5c02ccd7e013e441b327a
6,235195,25,5,False,False,False,133,a985pf.8fffb0f688ed50427e0186ab,a985coord.5f4cec74e6f53c9b89783b31
7,255487,9,3,False,False,False,62,a985pf.7d98d55fa0bcca8585dd44b7,a985coord.a20c61b29f5bb62166e5d81a
8,266952,16,4,False,False,False,75,a985pf.8b88ad6bf8b651568aa49e4c,a985coord.b07fab0257d656caae29ff29
9,267950,4,2,False,False,False,88,a985pf.404cf670100d6a5f1a2dd250,a985coord.8b0381188ff5b5b5bf854edb
10,269025,144,12,False,False,False,156,a985pf.50182ed2eabe67fd6092e6f3,a985coord.f1b667b37ea59ec990928346
11,298072,4,2,False,False,False,62,a985pf.605336b16161cbfacb8c7451,a985coord.2710d2e520d3bd0dd8f76051
12,371651,25,5,False,False,False,114,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
13,447434,25,5,False,False,False,105,a985pf.e6c98083c5e5e5d4a1268f82,a985coord.39fc8e1c08d8e3cc19491039
14,451018,16,4,False,False,False,66,a985pf.4113b4cf3fbfcf77f1f596cb,a985coord.876f8adc4abee9e58f31872e
15,469584,121,11,False,False,False,78,a985pf.bad63dd92c0d7963a1477d0a,a985coord.0f1fc60c89c320f2adcd2858
16,511657,100,10,False,False,False,180,a985pf.8b1b2d04f1055c9f34ae3c5e,a985coord.7e6668dc8bd54a40c6c407dd
17,548312,1,1,False,False,False,16,a985pf.41d0312324b2f0c15d007f6d,a985coord.3c87a850283f68ad6e7f5fdd
18,606158,9,3,False,False,False,115,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
19,629586,4,2,False,False,False,56,a985pf.0f1476a5434aef02bb516590,a985coord.468ec3c4d550c16c63fa2f3d
20,662338,36,6,False,False,False,297,a985pf.0431fb38103754f993836167,a985coord.0f48fcbaf752e9308639b2e1
21,684890,4,2,False,False,False,52,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
22,685469,9,3,False,False,False,79,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
23,686949,16,4,False,False,False,92,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
24,687116,1,1,False,False,False,16,a985pf.6a5e79e5cd51d443d142d532,a985coord.a7cab8e86acf5d3b7cd959fb
25,690448,36,6,False,False,False,125,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
26,722438,16,4,False,False,False,182,a985pf.4d384f591c3ef6e2b4c37add,a985coord.1f3040b2d4517d1b8d063314
27,733011,25,5,False,False,False,109,a985pf.eb9d6a0a14d39806215ee30f,a985coord.2a0417f038c9f784471baa11
28,770171,16,4,False,False,False,119,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
29,777058,1,1,False,False,False,44,a985pf.1c291d5534c311edc48123b2,a985coord.90b3dfdbbd10982f7e31ff7f
30,809357,1,1,False,False,False,44,a985pf.f5c4748a515dca877336eb56,a985coord.679dfe35a3ec900ef94e3fee
31,821487,16,4,False,False,False,74,a985pf.e35b4767bbe49090117feac8,a985coord.9f366dd0bb7ecf0a65e1ba17
32,859311,100,10,False,False,False,64,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
33,883301,4,2,False,False,False,62,a985pf.5e5bfcc366256ec7df15b71c,a985coord.c40efde730c8f02557d7b8a1
34,896508,64,8,False,False,False,90,a985pf.e8b35eb8f197f0e85e7f9a28,a985coord.5f77625dee5f3a1d4924aec2
35,902354,1,1,False,False,False,38,a985pf.dee5a3615e2ca5e9f7b6d662,a985coord.111958fabfcf6eb85501a38d
36,978309,4,2,False,False,False,32,a985pf.d12a943a54a67bb5ae120747,a985coord.c9a14e2cdc62a74eda2c9824
37,994874,16,4,False,False,False,77,a985pf.b5a81e55237249530c339f32,a985coord.63411e99dc4688af236684b0
38,996129,81,9,False,False,False,134,a985pf.59330ff9790063b5c0df1269,a985coord.096f8eab0a6fa737cbafb7ef
