proof_family,surface,events,C,V,X,verdict
cadical_drat,DRAT,83,83,0,0,C_PUBLIC_PROOF_TRACE
cadical_lrat,LRAT,62,62,0,0,C_PUBLIC_CHECKED_PROOF_TRACE
cadical_frat,FRAT,214,214,0,0,C_PUBLIC_FRAT_SURFACE_TRACE
