residue,status,count,witness
kissat_sigsegv,PRESENT,2,residues/kissat_sigsegv.json
standalone_frat_checker_missing,BLOCKED,1,residues/frat_checker_status.json
inherited_full_frat_rank_replay_blocked,BLOCKED,1,residues/full_frat_inherited_analyzer_blocked.json
