proof_family,format,proofs,verified,verifier,verification_status
cadical_drat,DRAT,5,5,drat-trim,VERIFIED
cadical_lrat,LRAT,5,5,lrat-trim,VERIFIED
cadical_frat_extracted_lrat,FRAT embedded LRAT extraction,5,5,lrat-trim over extracted antecedent LRAT,VERIFIED_EMBEDDED_DERIVATION
cadical_frat_full_format,FRAT,5,0,standalone FRAT checker,BLOCKED_NO_STANDALONE_FRAT_CHECKER
