benchmark,solver,solver_identity,command,status,exit_note,stdout,stdout_sha256,stderr,stderr_sha256,stderr_size
contradiction_4.cnf,cadical,3.0.0,cadical.exe <benchmark.cnf>,UNSAT,UNSAT witness in captured stdout,logs/solver_runs/contradiction_4.cadical.stdout.txt,14e6aec76a1cd809265d00da02b5ab84370aa265507eb994fb9b639a5d1c12d0,logs/solver_runs/contradiction_4.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
contradiction_4.cnf,kissat,4.0.4 local-manual-build,kissat.exe <benchmark.cnf>,UNSAT,UNSAT witness in captured stdout,logs/solver_runs/contradiction_4.kissat.stdout.txt,4e8fb58c267433e2a023a5382da2c2b259dc0ff3f6755722de713f21f9f22098,logs/solver_runs/contradiction_4.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
contradiction_4.cnf,minisat,2.0 beta,minisat.exe <benchmark.cnf> <benchmark.minisat.model.txt>,UNSAT,UNSAT witness in captured stdout,logs/solver_runs/contradiction_4.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,logs/solver_runs/contradiction_4.minisat.stderr.txt,ef9bd86704239c757fdf08ea0b6595bc481b803dadb9f19577bf22c6ba44045a,459
horn_chain_8.cnf,cadical,3.0.0,cadical.exe <benchmark.cnf>,UNSAT,UNSAT witness in captured stdout,logs/solver_runs/horn_chain_8.cadical.stdout.txt,b600529f9bf782fe9673bfaf89aaf7379af3484323db055ad89382cb86f5a983,logs/solver_runs/horn_chain_8.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
horn_chain_8.cnf,kissat,4.0.4 local-manual-build,kissat.exe <benchmark.cnf>,UNSAT,UNSAT witness in captured stdout,logs/solver_runs/horn_chain_8.kissat.stdout.txt,abed736c80cb5e526b8e143b5cd317550c0c1af1b2b0e5c56fec09d882b0aeca,logs/solver_runs/horn_chain_8.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
horn_chain_8.cnf,minisat,2.0 beta,minisat.exe <benchmark.cnf> <benchmark.minisat.model.txt>,UNSAT,UNSAT witness in captured stdout,logs/solver_runs/horn_chain_8.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,logs/solver_runs/horn_chain_8.minisat.stderr.txt,f321b79ac3b6d6c2bdd0f9c5f7b20a0a564d85d86c0ca4e32f9ea2b9d3c771c2,459
horn_chain_12.cnf,cadical,3.0.0,cadical.exe <benchmark.cnf>,UNSAT,UNSAT witness in captured stdout,logs/solver_runs/horn_chain_12.cadical.stdout.txt,6f518bda25fe46a94faceda017a046a07f67a08ea79a703e036d7070051f92e2,logs/solver_runs/horn_chain_12.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
horn_chain_12.cnf,kissat,4.0.4 local-manual-build,kissat.exe <benchmark.cnf>,UNSAT,UNSAT witness in captured stdout,logs/solver_runs/horn_chain_12.kissat.stdout.txt,b4868b4b5fe8a0dcfe5f0951f334a8388cdb1c731c345b3ee36fa47de58d1002,logs/solver_runs/horn_chain_12.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
horn_chain_12.cnf,minisat,2.0 beta,minisat.exe <benchmark.cnf> <benchmark.minisat.model.txt>,UNSAT,UNSAT witness in captured stdout,logs/solver_runs/horn_chain_12.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,logs/solver_runs/horn_chain_12.minisat.stderr.txt,5ece147bd8ee5bad2ec78fc818b14edc305455d6ddd9e7f3b3a6438687e3e035,459
php_3_2.cnf,cadical,3.0.0,cadical.exe <benchmark.cnf>,UNSAT,UNSAT witness in captured stdout,logs/solver_runs/php_3_2.cadical.stdout.txt,9b1a642553fefa72fe1005b0951cb6778e4aae680b9bfeb9f6a9981a97eaab84,logs/solver_runs/php_3_2.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
