benchmark,command,elapsed_seconds,model,model_sha256,returncode,solver,solver_identity,status,stderr,stderr_sha256,stderr_size,stdout,stdout_sha256,stdout_size,timed_out
scaled/horn_chain_128.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\kissat-rel-4.0.4\build\kissat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_128.cnf,0.006813,,,20,kissat,4.0.4 local-manual-build,UNSAT,logs/scaled_solver_runs/horn_chain_128.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/horn_chain_128.kissat.stdout.txt,6f60c035617b1898029c9a67269ba97602a2233318ae9846d100585982b0b4af,2250,False
scaled/horn_chain_128.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\minisat\simp\minisat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_128.cnf D:\Projects\carrollian\data\evidence\ss_sat\logs\scaled_solver_runs\horn_chain_128.minisat.model.txt,0.009747,logs/scaled_solver_runs/horn_chain_128.minisat.model.txt,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,20,minisat,2.0 beta,UNSAT,logs/scaled_solver_runs/horn_chain_128.minisat.stderr.txt,cdb10af97431da12b1611b388cb8b5c47a1309d7b161f66d834706c2ee265a80,459,logs/scaled_solver_runs/horn_chain_128.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,15,False
scaled/php_4_3.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\cadical-rel-3.0.0\build\cadical.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_4_3.cnf,0.010349,,,20,cadical,3.0.0,UNSAT,logs/scaled_solver_runs/php_4_3.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/php_4_3.cadical.stdout.txt,58456dcebf44167bf0c66277f71b0c2c121e121130378ba142dee0121b711d8d,4147,False
scaled/php_4_3.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\kissat-rel-4.0.4\build\kissat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_4_3.cnf,0.006704,,,3,kissat,4.0.4 local-manual-build,SIGSEGV,logs/scaled_solver_runs/php_4_3.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/php_4_3.kissat.stdout.txt,c357aea6363e1777eb1926234b03a475780fc465bf362267421e796f834b12e3,2036,False
scaled/php_4_3.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\minisat\simp\minisat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_4_3.cnf D:\Projects\carrollian\data\evidence\ss_sat\logs\scaled_solver_runs\php_4_3.minisat.model.txt,0.009695,logs/scaled_solver_runs/php_4_3.minisat.model.txt,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,20,minisat,2.0 beta,UNSAT,logs/scaled_solver_runs/php_4_3.minisat.stderr.txt,8a04dcc53bd8e58f79524e420fd56538a971acef9aa85388483f69e3e99ddbfb,715,logs/scaled_solver_runs/php_4_3.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,15,False
scaled/php_5_4.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\cadical-rel-3.0.0\build\cadical.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_5_4.cnf,0.010389,,,20,cadical,3.0.0,UNSAT,logs/scaled_solver_runs/php_5_4.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/php_5_4.cadical.stdout.txt,0558c9bd03dcfde4a9b493c484531aa6ce95a7869896c3240cb01a00b34040c0,4945,False
scaled/php_5_4.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\kissat-rel-4.0.4\build\kissat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_5_4.cnf,0.006766,,,3,kissat,4.0.4 local-manual-build,SIGSEGV,logs/scaled_solver_runs/php_5_4.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/php_5_4.kissat.stdout.txt,435235f0f61e62bbd3032a21b12d11584706fc1ede3ab5244b5565c708920ef3,2036,False
scaled/php_5_4.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\minisat\simp\minisat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_5_4.cnf D:\Projects\carrollian\data\evidence\ss_sat\logs\scaled_solver_runs\php_5_4.minisat.model.txt,0.010597,logs/scaled_solver_runs/php_5_4.minisat.model.txt,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,20,minisat,2.0 beta,UNSAT,logs/scaled_solver_runs/php_5_4.minisat.stderr.txt,f68868859ebad4d09a3981c303867904eb51a9645edd31fbfd8038adc27c3f68,1202,logs/scaled_solver_runs/php_5_4.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,15,False
scaled/php_6_5.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\cadical-rel-3.0.0\build\cadical.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_6_5.cnf,0.012883,,,20,cadical,3.0.0,UNSAT,logs/scaled_solver_runs/php_6_5.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/php_6_5.cadical.stdout.txt,776413c1c0816ceb1ebd9d0921a99488a89e3b0c19c23c9f30e2ef25c6eb636d,4752,False
scaled/php_6_5.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\kissat-rel-4.0.4\build\kissat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_6_5.cnf,0.088806,,,3221226356,kissat,4.0.4 local-manual-build,SIGSEGV,logs/scaled_solver_runs/php_6_5.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/php_6_5.kissat.stdout.txt,4d7e780474e56771b9d3472d1615434cb1925807a4a14fb9f436353858a3bce5,2036,False
scaled/php_6_5.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\minisat\simp\minisat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_6_5.cnf D:\Projects\carrollian\data\evidence\ss_sat\logs\scaled_solver_runs\php_6_5.minisat.model.txt,0.015891,logs/scaled_solver_runs/php_6_5.minisat.model.txt,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,20,minisat,2.0 beta,UNSAT,logs/scaled_solver_runs/php_6_5.minisat.stderr.txt,a72a4af7c643f4be42835bd77bc4a741a71eb47c3060c1ead07b49b22cda1dcd,1283,logs/scaled_solver_runs/php_6_5.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,15,False
scaled/xor_parity_6_unsat.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\cadical-rel-3.0.0\build\cadical.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\xor_parity_6_unsat.cnf,0.011796,,,20,cadical,3.0.0,UNSAT,logs/scaled_solver_runs/xor_parity_6_unsat.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/xor_parity_6_unsat.cadical.stdout.txt,d940eb99d9cf043f8212db08426d1dec4b5805349f3099efa1bd9e2f8496df20,3900,False
scaled/xor_parity_6_unsat.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\kissat-rel-4.0.4\build\kissat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\xor_parity_6_unsat.cnf,0.008505,,,3,kissat,4.0.4 local-manual-build,SIGSEGV,logs/scaled_solver_runs/xor_parity_6_unsat.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/xor_parity_6_unsat.kissat.stdout.txt,2e90c0454a939f084f1defb8573b4bcf090e6114739bbd91458766ab4e581497,2054,False
scaled/xor_parity_6_unsat.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\minisat\simp\minisat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\xor_parity_6_unsat.cnf D:\Projects\carrollian\data\evidence\ss_sat\logs\scaled_solver_runs\xor_parity_6_unsat.minisat.model.txt,0.011762,logs/scaled_solver_runs/xor_parity_6_unsat.minisat.model.txt,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,20,minisat,2.0 beta,UNSAT,logs/scaled_solver_runs/xor_parity_6_unsat.minisat.stderr.txt,e3fd84cd558af8c595a8f62255a3500f30c6e6e2f88b26afd22cdf7dafa542f0,715,logs/scaled_solver_runs/xor_parity_6_unsat.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,15,False
scaled/xor_parity_8_unsat.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\cadical-rel-3.0.0\build\cadical.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\xor_parity_8_unsat.cnf,0.012043,,,20,cadical,3.0.0,UNSAT,logs/scaled_solver_runs/xor_parity_8_unsat.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/xor_parity_8_unsat.cadical.stdout.txt,841e697eb852caebffc162cda13b6cd2abe60f6118e1563c364dd56f0ea2be1c,3902,False
scaled/xor_parity_8_unsat.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\kissat-rel-4.0.4\build\kissat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\xor_parity_8_unsat.cnf,0.007395,,,3,kissat,4.0.4 local-manual-build,SIGSEGV,logs/scaled_solver_runs/xor_parity_8_unsat.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/xor_parity_8_unsat.kissat.stdout.txt,84e03c5f8efb4a84eba31ee1accd5df583b4148fcc1f730b209521db636379e2,2059,False
scaled/xor_parity_8_unsat.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\minisat\simp\minisat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\xor_parity_8_unsat.cnf D:\Projects\carrollian\data\evidence\ss_sat\logs\scaled_solver_runs\xor_parity_8_unsat.minisat.model.txt,0.014552,logs/scaled_solver_runs/xor_parity_8_unsat.minisat.model.txt,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,20,minisat,2.0 beta,UNSAT,logs/scaled_solver_runs/xor_parity_8_unsat.minisat.stderr.txt,ba5ba5c57bf57e86a76d43d5ea7bb5e46e1c5dca41fd870c1304e93c61adceab,715,logs/scaled_solver_runs/xor_parity_8_unsat.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,15,False
