shell,start_label,success,nit,initial_gap,final_gap,Dq,Dp,p_min,p_max,p_cv,fun,grad_inf,message
8,zero_uniform,True,0,-5.36607795235493e-15,-5.36607795235493e-15,-1.1102230246251568e-16,1.3137639124731035e-15,0.041666666666666616,0.041666666666666775,1.2214030190409506e-15,-5.36607795235493e-15,6.436075505073371e-18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,q_uniform_blocks,True,0,-5.36607795235493e-15,-5.36607795235493e-15,-1.1102230246251568e-16,1.3137639124731035e-15,0.041666666666666616,0.041666666666666775,1.2214030190409506e-15,-5.36607795235493e-15,6.436075505073371e-18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,q_delta_0,True,0,2.237552622723191,2.237552622723191,6.63200177739563,1.0986122886681098,3.162500000000076e-299,0.125,1.4142135623730951,2.237552622723191,2.0501930257397793e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,q_delta_1,True,0,2.237552622723191,2.237552622723191,6.63200177739563,1.0986122886681098,3.162500000000076e-299,0.125,1.4142135623730951,2.237552622723191,2.0501930257397793e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,q_delta_2,True,0,2.237552622723191,2.237552622723191,6.63200177739563,1.0986122886681098,3.162500000000076e-299,0.125,1.4142135623730951,2.237552622723191,2.0501930257397793e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,q_delta_3,True,0,2.237552622723191,2.237552622723191,6.63200177739563,1.0986122886681098,3.162500000000076e-299,0.125,1.4142135623730951,2.237552622723191,2.0501930257397793e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,q_delta_4,True,0,2.237552622723191,2.237552622723191,6.63200177739563,1.0986122886681098,3.162500000000076e-299,0.125,1.4142135623730951,2.237552622723191,2.0501930257397793e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,q_delta_379,True,0,2.237552622723191,2.237552622723191,6.63200177739563,1.0986122886681098,3.162500000000076e-299,0.125,1.4142135623730951,2.237552622723191,2.0501930257397793e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,q_delta_758,True,0,2.237552622723191,2.237552622723191,6.63200177739563,1.0986122886681098,3.162500000000081e-299,0.125,1.4142135623730951,2.237552622723191,2.0501930257397793e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,q_uniform_2blocks_0,True,0,2.9306998032831366,2.9306998032831366,5.938854596835685,0.7520386983881371,3.1624999999999953e-299,0.125,1.1180339887498951,2.9306998032831366,2.049499878559108e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,q_uniform_2blocks_1,True,0,2.9306998032831366,2.9306998032831366,5.938854596835685,0.7520386983881371,3.1624999999999953e-299,0.125,1.1180339887498951,2.9306998032831366,2.220446049250313e-16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
8,q_uniform_4blocks_0,True,6,4.1861821284618905,2.2375526227234426,6.632001777395378,1.0986122886679839,3.1624999999999974e-299,0.125,1.4142135623730874,2.2375526227234426,2.4469315462738263e-13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,zero_uniform,True,0,5.406786129924487e-14,5.406786129924487e-14,2.2204460492503128e-16,-8.97430278238664e-15,0.04166666666666622,0.041666666666666366,1.444223711815941e-15,5.406786129924487e-14,7.240584943207542e-18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,q_uniform_blocks,True,0,5.406786129924487e-14,5.406786129924487e-14,2.2204460492503128e-16,-8.97430278238664e-15,0.04166666666666622,0.041666666666666366,1.444223711815941e-15,5.406786129924487e-14,7.240584943207542e-18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,q_delta_0,True,0,3.6951100038645723,3.6951100038645723,7.853993087224244,0.6931471805599453,1.0733333333333622e-298,0.08333333333333333,1.0,3.6951100038645723,3.410912564051163e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,q_delta_1,True,0,3.6951100038645723,3.6951100038645723,7.853993087224244,0.6931471805599453,1.0733333333333622e-298,0.08333333333333333,1.0,3.6951100038645723,3.410912564051163e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,q_delta_2,True,0,3.6951100038645723,3.6951100038645723,7.853993087224244,0.6931471805599453,1.0733333333333622e-298,0.08333333333333333,1.0,3.6951100038645723,3.410912564051163e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,q_delta_3,True,0,3.6951100038645723,3.6951100038645723,7.853993087224244,0.6931471805599453,1.0733333333333622e-298,0.08333333333333333,1.0,3.6951100038645723,3.410912564051163e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,q_delta_4,True,0,3.6951100038645723,3.6951100038645723,7.853993087224244,0.6931471805599453,1.0733333333333622e-298,0.08333333333333333,1.0,3.6951100038645723,3.410912564051163e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,q_delta_1288,True,0,3.6951100038645723,3.6951100038645723,7.853993087224244,0.6931471805599453,1.0733333333333622e-298,0.08333333333333333,1.0,3.6951100038645723,3.410912564051163e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,q_delta_2575,True,0,3.6951100038645723,3.6951100038645723,7.853993087224244,0.6931471805599453,1.0733333333333622e-298,0.08333333333333333,1.0,3.6951100038645723,3.410912564051163e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,q_uniform_2blocks_0,True,0,5.081404364984463,5.081404364984463,7.160845906664299,0.34657359027997264,1.0733333333333284e-298,0.08333333333333333,0.7071067811865476,5.081404364984463,1.3607616652569516e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,q_uniform_2blocks_1,True,0,5.081404364984463,5.081404364984463,7.160845906664299,0.34657359027997264,1.0733333333333284e-298,0.08333333333333333,0.7071067811865476,5.081404364984463,1.3607616652569515e-297,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,q_uniform_4blocks_0,True,7,5.489996214890415,3.6951100038645723,7.853993087224244,0.6931471805599453,1.0733333333333284e-298,0.08333333333333333,1.0,3.6951100038645723,1.2311039556994903e-18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
