shell,blocks,min_structured_gap,min_structured_label,min_optimized_gap,min_optimized_start,optimized_p_cv,optimized_grad_inf,all_structured_pass_nonnegative
8,759,-5.36607795235493e-15,uniform_blocks,-5.36607795235493e-15,zero_uniform,1.2214030190409506e-15,6.436075505073371e-18,True
12,2576,5.406786129924487e-14,uniform_blocks,5.406786129924487e-14,zero_uniform,1.444223711815941e-15,7.240584943207542e-18,True
16,759,2.1464311809419672e-15,uniform_blocks,2.1464311809419672e-15,zero_uniform,6.849500233248634e-16,1.053175991739279e-17,True
24,1,0.0,uniform_blocks,0.0,trivial_w24,0.0,0.0,True
