shell,label,gap,Dq,Dp,p_min,p_max,passes_gap_nonnegative
8,uniform_blocks,-5.36607795235493e-15,-1.1102230246251568e-16,1.3137639124731035e-15,0.041666666666666616,0.041666666666666775,True
8,delta_0,2.237552622723191,6.63200177739563,1.0986122886681098,3.1624999999999953e-299,0.125,True
8,delta_1,2.237552622723191,6.63200177739563,1.0986122886681098,3.162499999999996e-299,0.125,True
8,delta_2,2.237552622723191,6.63200177739563,1.0986122886681098,3.162499999999996e-299,0.125,True
8,delta_3,2.237552622723191,6.63200177739563,1.0986122886681098,3.1624999999999953e-299,0.125,True
8,delta_4,2.237552622723191,6.63200177739563,1.0986122886681098,3.1624999999999953e-299,0.125,True
8,delta_379,2.237552622723191,6.63200177739563,1.0986122886681098,3.1624999999999953e-299,0.125,True
8,delta_758,2.237552622723191,6.63200177739563,1.0986122886681098,3.1624999999999953e-299,0.125,True
8,uniform_2blocks_0,3.623846983843082,5.938854596835685,0.5787519032481507,3.1624999999999953e-299,0.125,True
8,uniform_2blocks_1,2.9306998032831366,5.938854596835685,0.7520386983881371,3.1624999999999953e-299,0.125,True
8,uniform_4blocks_0,3.9474893153513353,5.2457074162757396,0.324554525231101,3.1624999999999974e-299,0.09375,True
8,uniform_4blocks_1,4.294062905631308,5.2457074162757396,0.23791112766110786,3.162499999999996e-299,0.09375,True
8,uniform_8blocks_0,3.9838249804389916,4.552560235715793,0.14218381381920048,0.015625,0.109375,True
8,uniform_8blocks_1,3.9583801321482213,4.552560235715794,0.14854502589189317,3.1624999999999985e-299,0.078125,True
8,uniform_16blocks_0,3.5785000887266087,3.8594130551558488,0.07022824160730996,0.015625,0.078125,True
8,uniform_16blocks_1,3.527073289660952,3.859413055155849,0.0830849413737243,0.0078125,0.0703125,True
8,uniform_32blocks_0,3.08594157236863,3.1662658745959034,0.020081075556818328,0.01953125,0.0625,True
8,uniform_32blocks_1,3.0081412459116637,3.1662658745959034,0.03953115717105992,0.015625,0.078125,True
