"﻿""path""",size,sha256
audit/cvx_frat_surface_route_audit.json,6034,2be70d1e7049cd45896f00f780a9ab480c984d9e563058eb02a2606bcea3dd6b
audit/cvx_frat_surface_route_rows.csv,38324,735a81987c8f48df05fa8515ef88f4bf7fa154ba19c0613899ca777b1c669ed0
audit/cvx_frat_surface_route_summary.csv,1526,15c66b05771072b047d358a6f1a32d43722b0e9155a0db85db86fe99e247e8c1
audit/extracted_lrat_analysis/external_analysis.json,1787,cbf0d51f37defcede6bac1f27c677514301d802bfa626f774a8f09fcfe4b9a03
audit/extracted_lrat_analysis/external_sources.csv,898,63078b8a16dc6fa4d7a6bbf0c494f410e42fae373970c9a4a430eff74a36d838
audit/extracted_lrat_from_frat/contradiction_4.from_frat.lrat,11,204401b43dd8435a643f6778bed520ebe70b38c3e56330752290d314b775a813
audit/extracted_lrat_from_frat/horn_chain_12.from_frat.lrat,184,1653c2e8dfb5cb51da114a074bc2829ee7f76f8b759e2670dc39649206faa025
audit/extracted_lrat_from_frat/horn_chain_8.from_frat.lrat,117,19f161161975eb9ee7ec154c9319b8ecf74c458b8601b0c15c3f661735a9cf82
audit/extracted_lrat_from_frat/php_3_2.from_frat.lrat,117,b426f8a94ade3724a9a090857ac059f4f59b949f22300c2146b63fefff17b849
audit/extracted_lrat_from_frat/xor_unsat.from_frat.lrat,308,438441d100c371c7d8261099334e7f05a6e06ab18f8db611d33632d591a99146
audit/frat_extracted_lrat_verification_summary.csv,6232,6ecd1ca4de8e28aff4e8487c7b8e84ed15fc79e2dcb164b24398e6a22a389db7
audit/frat_verification_status.json,1008,460caefb3db2625fd8f997cda64e2cfcaea8c6cc9f1529cd40a020c13a4d715d
audit/full_frat_external_analysis_status.json,1043,cc4efd82aff27ca2098c78c7ca33e9865315dd29508ca9705d95c07a2acfc84f
certificate.json,6651,0b41481fba081d1fa7a9e58b93841045dfc1e3310d8d10117a99020142e5c2de
external_solver_evidence_bundle_strong_cadical_frat.zip,11570,c64545d5d756bca462dd8806c0add5b12b302fb2c67d4c76aea443ea37baaee1
external_solver_evidence_bundle_strong_cadical_frat/contradiction_4.cadical.frat,133,15ea4043d26db73ac9243ce7b3d9b0617c5b2716904b2f558d2bc9ea42227015
external_solver_evidence_bundle_strong_cadical_frat/contradiction_4.cadical.stderr.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
external_solver_evidence_bundle_strong_cadical_frat/contradiction_4.cadical.stdout.txt,4478,399567fa9c9fc4933e5570bca361669dba5ae60709249e84947d3a1ea318a7b6
external_solver_evidence_bundle_strong_cadical_frat/contradiction_4.cnf,73,7faffbcb0ea91aefcf41eefea00b42410b78b2e868c7e1d67edd09277b3f2806
external_solver_evidence_bundle_strong_cadical_frat/external_evidence_manifest.json,8224,9eca10ed72da7df351ecbe2784a0202b887000b976e586cc9aed21c6280e7011
external_solver_evidence_bundle_strong_cadical_frat/horn_chain_12.cadical.frat,687,269ab8e29cf0de0e413bb4cb7aa1cc928526f583e4d31b4c0fb1864c1206ab70
external_solver_evidence_bundle_strong_cadical_frat/horn_chain_12.cadical.stderr.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
external_solver_evidence_bundle_strong_cadical_frat/horn_chain_12.cadical.stdout.txt,4473,746bd130658ef2f9d010c29ed550125518d9af5dabe762db49376721cb890b4c
external_solver_evidence_bundle_strong_cadical_frat/horn_chain_12.cnf,137,539ee15e758ab0c82af36cc4649523a4b4598ddada0b807d6e869faaf2f83a8e
external_solver_evidence_bundle_strong_cadical_frat/horn_chain_8.cadical.frat,441,794570d14da31d42d0be1f9bfd5a1c6000ace8cf9e335e3c23f29e18581e8455
external_solver_evidence_bundle_strong_cadical_frat/horn_chain_8.cadical.stderr.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
external_solver_evidence_bundle_strong_cadical_frat/horn_chain_8.cadical.stdout.txt,4463,eb68b01c5e0c35b19813f4b4a7659ed01411847b0f4afe50bd43666a61055917
external_solver_evidence_bundle_strong_cadical_frat/horn_chain_8.cnf,101,3601cd91d51f57fe4f31a096e0c5f3898978c40a387098bd754c91730e190155
external_solver_evidence_bundle_strong_cadical_frat/php_3_2.cadical.frat,529,07ca2ae7e842cf42f3f8373e880d606cd3f1fe80c6f9c53cfc769f7b8589ae17
external_solver_evidence_bundle_strong_cadical_frat/php_3_2.cadical.stderr.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
external_solver_evidence_bundle_strong_cadical_frat/php_3_2.cadical.stdout.txt,4642,82c33d7df3f572958b146266a53326fe9b2235d26277af8d88955057631089cd
external_solver_evidence_bundle_strong_cadical_frat/php_3_2.cnf,134,91bf2390d8e9a627026bf2f25936b1c8fa7db6dd52823c4a2bfd909d1d2cf9a2
external_solver_evidence_bundle_strong_cadical_frat/xor_unsat.cadical.frat,1410,e0ab726dc4153dcfac5c404d696d90b21b9fdb016f2edd6c247aaf94bc71a595
external_solver_evidence_bundle_strong_cadical_frat/xor_unsat.cadical.stderr.txt,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
external_solver_evidence_bundle_strong_cadical_frat/xor_unsat.cadical.stdout.txt,4776,63490b81b5cc2a32d51640c01b98db7a055f3191ed50aef34259f266704936d7
external_solver_evidence_bundle_strong_cadical_frat/xor_unsat.cnf,312,1c696ba485b72373822e6e54446d04286eefe53b2efa684e598c88ee68fa1e6e
prior/certificate.json,5375,3f5b9b9945aed12613c2a6c006d10db195b674175025c535511bc264e3f1a2a8
prior/report.md,3644,d7a67ba5ff5cd127a70a8b0cd66e7141d7ce044090b5d69a4318be09f9e886fa
prior/running_ledger.csv,3455,2ac957c27c16cad3f98240bbd37c664f57ebce21a55af9ab38a1d15bf903416d
proof_artifact/external_evidence_gate.md,1294,ab3ff4b1c911e7f3ff657dc9571aa8c607ef83fe60f756da3acdd81ca4515cc9
proof_artifact/frat_surface_route_audit.md,2822,28a4a6b6e411c22def97145b26e556968ada2d36defd3287558a7459bdadebaa
report.md,4290,d70b34190e5111952023c92190559f69ae2e6a064153f9f07fe8c40f83e06b06
running_ledger.csv,3386,def73551f5c71545d9e597f1c64cc20bd1c916861356c3916b10d547122a9596
schema/external_evidence_manifest.schema.json,1461,8a4b52c9c07ce0152222622415694de72117fb386828aada5cdc61389afbfdf1
scripts/analyze_external_evidence.py,6183,24b5c6a0ab2baabe730390206813e6e1686d398da6310a4483d2b79726c40dd5
scripts/classify_cvx_checked_proof_routes.py,12738,a42a5c75dd9e2e5a451b83ae0c4c813edcb5185980ebe91777192ce5395f81c9
scripts/classify_cvx_frat_surface_routes.py,11779,784880598a82896884e6c820cfa682d29cf9c56f29bc25f9b9628985f11f41a7
scripts/extract_lrat_from_frat.py,1370,525753b04f22d77bf5f111790e1bce2435cab9ad9e52c31d83461d858f329eca
tables/cvx_integrity_summary.csv,519,3c5f72ebe611ae063398b6bf1e8656bda9ff588207cf30a7753cdb07f58130f0
tables/evidence_gate_summary.csv,1423,97669195d28e3b875f79aa8738cc8f18fd1ec5b9e4cbe31d247bd17f05947ff5
tables/frat_surface_summary.csv,500,f822d3da4522d25097da74faf1b1cd5cb1845692e81ea2d7abd4b563067d7bb0
tables/theorem_route_summary.csv,825,e712195d69b4a119924670f70943385e06eeee53dd697086e2eb1d70584d4281
