,BLUFF_ENGINE,CURVATURE_INJECTOR,DIVERGENCE_TAX,EXTRACTOR_LURE,FACE12_DENIAL,FACE15_DENIAL,FACE17_DENIAL,HOMOLOGY_PUNCTURE,H_MASK_SPLIT,KERNEL_DRIP,KERNEL_SPIKE,MONODROME_CONTAMINATOR,NONE,OMEGA_LOCK,RANDOM_JABBER,RANK4_TAX
BASIN_SWITCHER,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,0.0,-2.842170943040401e-14,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,2.842170943040401e-14
BLUFF_REVEAL,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,3.552713678800501e-15,0.0
CURVATURE_ZERO,-1.4210854715202004e-14,-2.842170943040401e-14,0.0,0.0,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,-2.842170943040401e-14,0.0,2.842170943040401e-14,0.0,-2.842170943040401e-14,2.842170943040401e-14,0.0,-2.842170943040401e-14
DIVERGENCE_MIN,0.0,0.0,0.0,0.0,2.842170943040401e-14,0.0,1.4210854715202004e-14,0.0,0.0,0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0,-2.842170943040401e-14
EMERGENCE_SEEKER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,0.0,0.0,5.684341886080802e-14,5.684341886080802e-14
FACE12_ANCHOR,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,1.4210854715202004e-14,0.0,0.0,0.0,5.684341886080802e-14,1.4210854715202004e-14,0.0,0.0,0.0,-5.684341886080802e-14
FACE15_ANCHOR,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,5.684341886080802e-14,0.0,0.0,0.0,0.0,-2.842170943040401e-14
FACE17_ANCHOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.842170943040401e-14,0.0,0.0,0.0,0.0
H2047_PURIST,0.0,0.0,0.0,1.4210854715202004e-14,2.842170943040401e-14,0.0,2.842170943040401e-14,-2.842170943040401e-14,0.0,1.4210854715202004e-14,2.842170943040401e-14,7.105427357601002e-15,5.684341886080802e-14,2.842170943040401e-14,0.0,0.0
H954_CORRIDOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.842170943040401e-14,-2.842170943040401e-14
MONODROME_PURIST,0.0,0.0,0.0,0.0,-2.842170943040401e-14,0.0,-2.842170943040401e-14,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q4_BALANCER,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,7.105427357601002e-15,0.0,0.0,2.842170943040401e-14,1.4210854715202004e-14,0.0,-1.4210854715202004e-14,0.0,0.0
ROBUST_REVEAL,-2.842170943040401e-14,-2.842170943040401e-14,0.0,0.0,-2.842170943040401e-14,2.842170943040401e-14,-2.842170943040401e-14,0.0,2.842170943040401e-14,-2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14
SIGMA_MIN,0.0,1.4210854715202004e-14,0.0,0.0,0.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0,-1.4210854715202004e-14,0.0,-2.842170943040401e-14,0.0,0.0,-2.842170943040401e-14,0.0,-1.4210854715202004e-14
SPREAD_CONTROL,1.4210854715202004e-14,0.0,0.0,7.105427357601002e-15,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCHASTIC_CONTROL,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,-2.842170943040401e-14,1.4210854715202004e-14,0.0,2.842170943040401e-14,2.842170943040401e-14
