group,pair_tests,builder_composition_defect_mean,builder_composition_defect_max,jabber_composition_defect_mean,jabber_composition_defect_max
all_GL3F2,28224,0.4880952380952381,0.75,0.5467687074829932,0.8125
exact_recoverable,64,0.0,0.0,0.0,0.0
point_stabilizer,576,0.0,0.0,0.0,0.0
flag_stabilizer,64,0.0,0.0,0.0,0.0
