group,size,projection_energy_fraction_vs_R,breaking_energy_fraction_vs_R,projection_cos2_with_R,projection_participation_rank,breaking_participation_rank,projection_relerr_to_R
exact_recoverable,8,1.0,1.362664574186698e-32,1.0,3.842555775650312,9.017992185726625,1.1673322467004407e-16
flag_stabilizer,8,1.0,1.362664574186698e-32,1.0,3.842555775650312,9.017992185726625,1.1673322467004407e-16
point_stabilizer,24,0.9999999999999997,1.5134465340126553e-31,1.0,3.8425557756503097,7.883245663351824,3.890304016413956e-16
all_GL3F2,168,0.5777261535539403,0.6535424608225104,0.36960222964484335,3.655019413637954,4.042518844786951,0.8084197305994645
