state_id,sample_count,sum_value,outgoing_edge_count,current_average_num,current_average_den,expected_next_average_num_digits,expected_next_average_den_digits,expected_next_average_num_mod_1000000007,expected_next_average_den_mod_1000000007,expected_next_average_num_mod_1000000009,expected_next_average_den_mod_1000000009,drift_num_digits,drift_den_digits,drift_num_mod_1000000007,drift_den_mod_1000000007,drift_num_mod_1000000009,drift_den_mod_1000000009,abs_drift_num_digits,abs_drift_den_digits,abs_drift_num_mod_1000000007,abs_drift_den_mod_1000000007,abs_drift_num_mod_1000000009,abs_drift_den_mod_1000000009,source_probability_num_digits,source_probability_den_digits,source_probability_num_mod_1000000007,source_probability_den_mod_1000000007,source_probability_num_mod_1000000009,source_probability_den_mod_1000000009,drift_sign,eventual_cone_flag,boundary_defect_flag
71,8,8,2,1,1,13,13,437052510,414268062,437042350,414259608,12,13,22784448,414268062,22782742,414259608,12,13,22784448,414268062,22782742,414259608,4,8,6561,26852219,6561,26852219,1,1,0
72,8,9,2,9,8,13,13,162406693,138089354,162403153,138086536,13,14,56449358,104714825,56446400,104692279,13,14,56449358,104714825,56446400,104692279,5,8,17496,26852219,17496,26852219,1,1,0
73,8,10,2,5,4,12,12,258496468,712696456,258495204,712695518,12,13,470503613,850785810,470503253,850782054,12,13,470503613,850785810,470503253,850782054,5,8,46656,26852219,46656,26852219,1,1,0
74,8,11,2,11,8,12,12,901356359,570898821,901355907,570898509,11,13,930963841,567190540,930963657,567188036,11,13,930963841,567190540,930963657,567188036,6,8,124416,26852219,124416,26852219,1,1,0
75,8,12,2,3,2,11,11,276677339,190299607,276677177,190299503,10,12,982455864,380599214,982455854,380599006,10,12,982455864,380599214,982455854,380599006,6,8,331776,26852219,331776,26852219,1,1,0
76,8,13,2,13,8,11,11,5696052,396766538,5695994,396766504,10,12,887603464,174132283,887603454,174132005,10,12,887603464,174132283,887603454,174132005,6,8,884736,26852219,884736,26852219,1,1,0
77,8,14,2,7,4,11,10,310452066,798922184,310452046,798922174,9,11,649353011,195688715,649353011,195688669,9,11,649353011,195688715,649353011,195688669,7,8,2359296,26852219,2359296,26852219,1,1,0
78,8,15,2,15,8,10,9,217095836,644324691,217095834,644324691,8,10,71896379,154597493,71896379,154597483,8,10,71896379,154597493,71896379,154597483,7,8,6291456,26852219,6291456,26852219,1,1,0
79,8,16,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,8,8,16777216,26852219,16777216,26852219,0,1,0
80,9,0,3,0,1,10,11,932710792,180675271,932710790,180675237,10,11,932710792,180675271,932710790,180675237,10,11,932710792,180675271,932710790,180675237,3,9,512,214774897,512,214774897,1,1,0
