state_id,sample_count,sum_value,outgoing_edge_count,current_average_num,current_average_den,expected_next_average_num_digits,expected_next_average_den_digits,expected_next_average_num_mod_1000000007,expected_next_average_den_mod_1000000007,expected_next_average_num_mod_1000000009,expected_next_average_den_mod_1000000009,drift_num_digits,drift_den_digits,drift_num_mod_1000000007,drift_den_mod_1000000007,drift_num_mod_1000000009,drift_den_mod_1000000009,abs_drift_num_digits,abs_drift_den_digits,abs_drift_num_mod_1000000007,abs_drift_den_mod_1000000007,abs_drift_num_mod_1000000009,abs_drift_den_mod_1000000009,source_probability_num_digits,source_probability_den_digits,source_probability_num_mod_1000000007,source_probability_den_mod_1000000007,source_probability_num_mod_1000000009,source_probability_den_mod_1000000009,drift_sign,eventual_cone_flag,boundary_defect_flag
116,10,17,2,17,10,13,13,351536057,669776923,351531357,669774203,12,14,129152935,697769188,129152191,697741976,12,14,129152935,697769188,129152191,697741976,8,10,56623104,718067532,56623104,718067530,1,1,0
117,10,18,2,9,5,12,12,660113932,556592310,660112284,556591404,11,13,291238884,782961536,291238802,782957002,11,13,291238884,782961536,291238802,782957002,9,10,150994944,718067532,150994944,718067530,1,1,0
118,10,19,2,19,10,12,12,627991861,185530770,627991285,185530468,11,13,754833966,855307693,754833940,855304671,11,13,754833966,855307693,754833940,855304671,9,10,402653184,718067532,402653184,718067530,1,1,0
119,10,20,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,10,10,73741817,718067532,73741815,718067530,0,1,0
120,11,0,3,0,1,11,12,231607182,807591339,231607100,807590461,11,12,231607182,807591339,231607100,807590461,11,12,231607182,807591339,231607100,807590461,4,11,2048,744139166,2048,744139140,1,1,0
121,11,1,3,1,11,12,13,938132375,845548006,938130975,845542730,13,14,473908056,301028003,473897914,300969949,13,14,473908056,301028003,473897914,300969949,4,11,3072,744139166,3072,744139140,1,1,0
122,11,2,2,2,11,13,13,898466253,536644004,898460125,536628172,14,14,809840719,903084009,809804959,902909847,14,14,809840719,903084009,809804959,902909847,4,11,4608,744139166,4608,744139140,1,1,0
123,11,3,3,3,11,14,14,374695808,219864003,374649162,219769005,15,15,462061858,418504019,461833740,417459037,15,15,462061858,418504019,461833740,417459037,4,11,6912,744139166,6912,744139140,1,1,0
124,11,4,2,4,11,14,15,169549520,659592009,169379178,659307015,15,16,226676691,255512050,225942907,252377102,15,16,226676691,255512050,225942907,252377102,5,11,10368,744139166,10368,744139140,1,1,0
125,11,5,2,5,11,15,15,371312395,978776020,370723083,977921036,16,16,190556252,766536150,188348742,757131306,16,16,190556252,766536150,188348742,757131306,5,11,15552,744139166,15552,744139140,1,1,0
126,11,6,2,6,11,15,16,254162852,936328046,252167094,933763090,16,17,177823117,299608436,171259521,271393900,16,17,177823117,299608436,171259521,271393900,5,11,23328,744139166,23328,744139140,1,1,0
127,11,7,2,7,11,16,16,287633902,808984124,280977240,801289252,16,17,501084075,898825308,481724903,814181700,16,17,501084075,898825308,481724903,814181700,5,11,34992,744139166,34992,744139140,1,1,0
128,11,8,2,8,11,17,17,647274413,426952358,625324413,403867738,17,18,704399658,696475910,647626612,442545082,17,18,704399658,696475910,647626612,442545082,5,11,52488,744139166,52488,744139140,1,1,0
129,11,9,2,9,11,17,17,712814677,280857067,641080929,211603205,17,18,313247809,89427716,147461329,327635237,17,18,313247809,89427716,147461329,327635237,5,11,78732,744139166,78732,744139140,1,1,0
130,11,10,1,10,11,2,2,13,12,13,12,2,3,23,132,23,132,2,3,23,132,23,132,6,11,118098,744139166,118098,744139140,1,1,0
131,11,11,2,1,1,17,17,67870142,381928399,887927385,226107209,17,17,685941750,381928399,661820176,226107209,17,17,685941750,381928399,661820176,226107209,6,11,177147,744139166,177147,744139140,1,1,0
132,11,12,2,12,11,17,17,352918168,230321401,321923598,204351203,17,18,118243029,533535397,88945133,247863215,17,18,118243029,533535397,88945133,247863215,6,11,472392,744139166,472392,744139140,1,1,0
