sample_count,state_count,drift_positive_count,drift_negative_count,drift_zero_count,rowwise_nonnegative_flag,eventual_cone_flag,boundary_defect_level_flag,variance_shrink_flag,negative_mass_num_digits,negative_mass_den_digits,negative_mass_num_mod_1000000007,negative_mass_den_mod_1000000007,negative_mass_num_mod_1000000009,negative_mass_den_mod_1000000009,positive_mass_num_digits,positive_mass_den_digits,positive_mass_num_mod_1000000007,positive_mass_den_mod_1000000007,positive_mass_num_mod_1000000009,positive_mass_den_mod_1000000009,zero_mass_num_digits,zero_mass_den_digits,zero_mass_num_mod_1000000007,zero_mass_den_mod_1000000007,zero_mass_num_mod_1000000009,zero_mass_den_mod_1000000009,mean_drift_num_digits,mean_drift_den_digits,mean_drift_num_mod_1000000007,mean_drift_den_mod_1000000007,mean_drift_num_mod_1000000009,mean_drift_den_mod_1000000009,min_drift_num_digits,min_drift_den_digits,min_drift_num_mod_1000000007,min_drift_den_mod_1000000007,min_drift_num_mod_1000000009,min_drift_den_mod_1000000009,max_drift_num_digits,max_drift_den_digits,max_drift_num_mod_1000000007,max_drift_den_mod_1000000007,max_drift_num_mod_1000000009,max_drift_den_mod_1000000009
1,3,2,1,0,0,0,1,1,1,2,8,13,8,13,1,2,5,13,5,13,1,1,0,1,0,1,3,4,255,1391,255,1391,1,3,1000000004,214,1000000006,214,3,3,123,214,123,214
2,5,4,0,1,1,1,0,1,1,1,0,1,0,1,2,3,43,107,43,107,2,3,64,107,64,107,5,5,10665,89987,10665,89987,1,1,0,1,0,1,4,4,1387,2523,1387,2523
3,7,6,0,1,1,1,0,1,1,1,0,1,0,1,3,3,329,841,329,841,3,3,512,841,512,841,6,8,772869,11160070,772869,11160070,1,1,0,1,0,1,5,5,25991,53080,25991,53080
4,9,8,0,1,1,1,0,1,1,1,0,1,0,1,4,4,2539,6635,2539,6635,4,4,4096,6635,4096,6635,8,9,28013451,699395350,28013451,699395350,1,1,0,1,0,1,5,6,67528,158115,67528,158115
5,11,10,0,1,1,1,0,1,1,1,0,1,0,1,5,5,19937,52705,19937,52705,5,5,32768,52705,32768,52705,10,12,703219559,765617805,703219555,765617585,1,1,0,1,0,1,9,9,172505921,453948840,172505921,453948840
6,13,12,0,1,1,1,0,1,1,1,0,1,0,1,6,6,158179,420323,158179,420323,6,6,262144,420323,262144,420323,12,13,816587915,844991829,816587599,844972069,1,1,0,1,0,1,9,10,907687295,538836230,907687295,538836226
7,15,14,0,1,1,1,0,1,1,1,0,1,0,1,7,7,1261097,3358249,1261097,3358249,7,7,2097152,3358249,2097152,3358249,14,16,757368628,235252288,757311002,230202408,1,1,0,1,0,1,9,10,544084579,674249689,544084579,674249687
8,17,16,0,1,1,1,0,1,1,1,0,1,0,1,8,8,10075003,26852219,10075003,26852219,8,8,16777216,26852219,16777216,26852219,15,17,34502036,118304662,34105274,72167202,1,1,0,1,0,1,11,12,978145854,761198428,978145732,761198012
9,19,18,0,1,1,1,0,1,1,1,0,1,0,1,8,9,80557169,214774897,80557169,214774897,9,9,134217728,214774897,134217728,214774897,16,18,577104660,144784051,572110610,406788508,1,1,0,1,0,1,12,13,151062999,512929135,151061987,512925425
10,21,20,0,1,1,1,0,1,1,1,0,1,0,1,9,10,644325715,718067532,644325715,718067530,10,10,73741817,718067532,73741815,718067530,19,21,823963379,191394293,970838974,697493413,1,1,0,1,0,1,14,14,167538651,186615100,167497499,186451820
11,23,22,0,1,1,1,0,1,1,1,0,1,0,1,10,11,154204630,744139166,154204620,744139140,10,11,589934536,744139166,589934520,744139140,21,23,335579222,960584875,165175051,416586021,1,1,0,1,0,1,16,16,190556252,766536150,188348742,757131306
12,25,24,0,1,1,1,0,1,1,1,0,1,0,1,11,12,232421580,951897840,232421498,951897622,11,12,719476260,951897840,719476124,951897622,22,25,590396442,517707470,386885665,864076280,1,1,0,1,0,1,15,16,882300310,843707007,881486784,840002085
13,27,26,0,1,1,1,0,1,1,1,0,1,0,1,12,12,855701698,611511736,855701040,611509978,12,12,755810045,611511736,755808947,611509978,25,27,316243552,26161752,231608437,932788061,1,1,0,1,0,1,17,18,545601570,688892440,374487724,858990849
14,29,28,0,1,1,1,0,1,1,1,0,1,0,1,13,13,834551585,881031903,834546309,881017831,13,13,46480318,881031903,46471522,881017831,25,28,301458609,692384507,70843085,227457958,1,1,0,1,0,1,17,18,942071933,862683293,793247693,96620731
15,31,30,0,1,1,1,0,1,1,1,0,1,0,1,14,14,643128463,14971000,643086243,14858410,14,14,371842544,14971000,371772176,14858410,28,31,809311599,231620878,303645611,641992019,1,1,0,1,0,1,18,19,851483262,222605814,994110545,553273175
