cone_id,start_sample_count,end_sample_count,level_count,state_count,drift_positive_count,drift_negative_count,drift_zero_count,rowwise_nonnegative_level_count,variance_shrink_level_count,cone_nonnegative_flag,negative_mass_total_num_digits,negative_mass_total_den_digits,negative_mass_total_num_mod_1000000007,negative_mass_total_den_mod_1000000007,negative_mass_total_num_mod_1000000009,negative_mass_total_den_mod_1000000009,mean_drift_total_num_digits,mean_drift_total_den_digits,mean_drift_total_num_mod_1000000007,mean_drift_total_den_mod_1000000007,mean_drift_total_num_mod_1000000009,mean_drift_total_den_mod_1000000009,min_drift_num_digits,min_drift_den_digits,min_drift_num_mod_1000000007,min_drift_den_mod_1000000007,min_drift_num_mod_1000000009,min_drift_den_mod_1000000009,max_drift_num_digits,max_drift_den_digits,max_drift_num_mod_1000000007,max_drift_den_mod_1000000007,max_drift_num_mod_1000000009,max_drift_den_mod_1000000009
0,1,1,1,3,2,1,0,0,1,0,1,2,8,13,8,13,3,4,255,1391,255,1391,1,3,1000000004,214,1000000006,214,3,3,123,214,123,214
1,2,15,14,252,238,0,14,14,14,1,1,1,0,1,0,1,18,18,342996583,879350040,98090927,108333688,1,1,0,1,0,1,4,4,1387,2523,1387,2523
