stage,k,total_supports,affected_supports_containing_weight4_root,unaffected_supports,affected_fraction
C0_H8_oplus_3,1,24,0,24,0.0
C0_H8_oplus_3,2,276,0,276,0.0
C0_H8_oplus_3,3,2024,0,2024,0.0
C0_H8_oplus_3,4,10626,42,10584,0.003952569169960474
C0_H8_oplus_3,5,42504,840,41664,0.019762845849802372
C0_H8_oplus_3,6,134596,7812,126784,0.05804035781152486
C0_H8_oplus_3,7,346104,45048,301056,0.1301574093336107
C1_neighbor_1,1,24,0,24,0.0
C1_neighbor_1,2,276,0,276,0.0
C1_neighbor_1,3,2024,0,2024,0.0
C1_neighbor_1,4,10626,18,10608,0.0016939582156973462
C1_neighbor_1,5,42504,360,42144,0.00846979107848673
C1_neighbor_1,6,134596,3396,131200,0.025231061844334157
C1_neighbor_1,7,346104,20088,326016,0.05804035781152486
C2_neighbor_2,1,24,0,24,0.0
C2_neighbor_2,2,276,0,276,0.0
C2_neighbor_2,3,2024,0,2024,0.0
C2_neighbor_2,4,10626,6,10620,0.000564652738565782
C2_neighbor_2,5,42504,120,42384,0.00282326369282891
C2_neighbor_2,6,134596,1140,133456,0.00846979107848673
C2_neighbor_2,7,346104,6840,339264,0.019762845849802372
C3_Golay_endpoint,1,24,0,24,0.0
C3_Golay_endpoint,2,276,0,276,0.0
C3_Golay_endpoint,3,2024,0,2024,0.0
C3_Golay_endpoint,4,10626,0,10626,0.0
C3_Golay_endpoint,5,42504,0,42504,0.0
C3_Golay_endpoint,6,134596,0,134596,0.0
C3_Golay_endpoint,7,346104,0,346104,0.0
