stage,size,dimension,min_distance,dual_distance,wt4_roots,macwilliams_self_dual,uniform_all_k_le_7,sha256_hex_words
C0_H8_oplus_3,4096,12,4,4,42,True,False,38d264462e02d2ebbb58543295ac4fc0e910fd4b93eeb2752418fd746a775112
C1_neighbor_1,4096,12,4,4,18,True,False,8e46cd3195f9b74ef7245d5be21e966cb705a0c261f765cdc12199f6565f7499
C2_neighbor_2,4096,12,4,4,6,True,False,63b0473e6601af953bb5f39087416fdb3496d55fa4dc2e816ef58058b542fa35
C3_Golay_endpoint,4096,12,8,8,0,True,True,a0ae82a75890afd43a836e34cbc9d69bf0e878d1455070f8ec84e7b22a746436
