observable_id,observable_code,value
0,0,5
1,1,5
2,2,4
3,3,4
4,4,4
5,5,4
6,6,0
7,7,4
8,8,8
9,9,8
10,10,1
11,11,56
12,12,1
13,13,1
14,14,0
15,15,0
16,16,1
17,17,1
18,18,6
19,19,49
20,20,12
21,21,1
22,22,1
23,23,0
