shell,h2_dim,c2_dim,public_actor_profile_coordinates,public_actor_hash_coordinates,h2_basis_killed_by_public_profile_actor,h2_basis_not_killed_by_public_profile_actor,public_actor_image_rank_profile_id,public_actor_image_rank_hash,public_actor_support_min,public_actor_support_median,public_actor_support_max
12,547,2553,1483,1483,1,546,541,541,0,4.0,16
16,547,2553,1483,1483,1,546,540,540,0,4.0,16
