shell,h2_basis_index,c2_support_size,public_profile_actor_support_size,public_profile_actor_zero,public_profile_ids_parity
12,0,4,4,False,"4569,4572,4588,4590"
12,1,4,4,False,"6,7,4572,4573"
12,2,2,2,False,"111,113"
12,3,4,4,False,"41,43,115,116"
12,4,4,4,False,"41,44,115,117"
12,5,4,4,False,"41,45,115,118"
12,6,4,4,False,"41,46,115,119"
12,7,4,4,False,"41,47,115,120"
12,8,4,4,False,"4539,4544,4588,4590"
12,9,4,4,False,"6,7,4543,4544"
12,10,2,2,False,"212,214"
12,11,6,6,False,"41,42,113,115,218,221"
12,12,4,4,False,"113,115,218,220"
12,13,6,6,False,"41,43,113,115,218,222"
12,14,6,6,False,"41,44,113,115,218,223"
12,15,6,6,False,"41,45,113,115,218,224"
12,16,6,6,False,"41,46,113,115,218,225"
12,17,4,4,False,"4487,4498,4588,4590"
12,18,2,2,False,"240,244"
12,19,4,4,False,"6,7,4493,4494"
12,20,2,2,False,"363,368"
12,21,4,4,False,"6,7,4495,4498"
12,22,2,2,False,"364,367"
12,23,4,4,False,"4488,4498,4588,4590"
12,24,4,4,False,"6,7,4497,4498"
12,25,2,2,False,"365,367"
12,26,2,2,False,"371,372"
12,27,4,4,False,"214,218,372,377"
12,28,4,4,False,"214,218,372,376"
12,29,6,6,False,"113,115,214,218,372,379"
12,30,8,8,False,"41,43,113,115,214,218,372,381"
12,31,8,8,False,"41,44,113,115,214,218,372,382"
12,32,8,8,False,"41,45,113,115,214,218,372,383"
12,33,4,4,False,"4410,4426,4588,4590"
12,34,4,4,False,"4411,4426,4588,4590"
12,35,2,2,False,"418,420"
12,36,4,4,False,"6,7,4417,4422"
12,37,2,2,False,"620,624"
12,38,2,2,False,"4424,4426"
12,39,2,2,False,"622,625"
12,40,4,4,False,"6,7,406,418"
12,41,6,6,False,"6,7,4398,4412,4588,4590"
12,42,4,4,False,"6,7,4425,4426"
12,43,2,2,False,"623,625"
12,44,4,4,False,"367,368,629,633"
12,45,2,2,False,"630,633"
12,46,2,2,False,"627,633"
12,47,2,2,False,"631,633"
12,48,4,4,False,"367,372,633,638"
12,49,4,4,False,"367,372,633,636"
12,50,6,6,False,"214,218,367,372,633,642"
12,51,10,10,False,"41,42,113,115,214,218,367,372,633,645"
12,52,10,10,False,"41,43,113,115,214,218,367,372,633,646"
12,53,10,10,False,"41,44,113,115,214,218,367,372,633,647"
12,54,4,4,False,"4282,4303,4588,4590"
12,55,2,2,False,"689,696"
12,56,4,4,False,"6,7,4288,4298"
12,57,2,2,False,"973,977"
12,58,4,4,False,"4266,4298,4588,4590"
12,59,4,4,False,"6,7,4293,4298"
12,60,2,2,False,"976,977"
12,61,4,4,False,"6,7,4303,4304"
12,62,2,2,False,"970,975"
12,63,4,4,False,"6,7,4299,4303"
12,64,2,2,False,"975,979"
12,65,4,4,False,"6,7,4291,4298"
12,66,2,2,False,"960,977"
12,67,2,2,False,"992,994"
12,68,2,2,False,"985,992"
12,69,4,4,False,"624,625,992,995"
12,70,2,2,False,"992,993"
12,71,4,4,False,"624,633,992,1002"
12,72,4,4,False,"624,633,992,1003"
12,73,6,6,False,"367,372,624,633,992,1008"
12,74,4,4,False,"624,639,992,1009"
12,75,8,8,False,"214,218,367,372,624,633,992,1012"
12,76,10,10,False,"113,115,214,218,367,372,624,633,992,1014"
12,77,12,12,False,"41,43,113,115,214,218,367,372,624,633,992,1015"
12,78,4,4,False,"4067,4112,4588,4590"
12,79,2,2,False,"1104,1110"
12,80,4,4,False,"4052,4104,4588,4590"
12,81,4,4,False,"6,7,4093,4104"
12,82,2,2,False,"1449,1460"
12,83,4,4,False,"6,7,4100,4104"
12,84,2,2,False,"1454,1460"
12,85,4,4,False,"4062,4104,4588,4590"
