,B-,B+,V-,V+,S-,S+
B-,-3383.875577638113,36.467618819536554,-960.9662082843148,-960.9662082843148,-960.9662082843148,-960.9662082843148
B+,36.467618819535005,-3383.8755776381113,-960.9662082843173,-960.9662082843173,-960.9662082843173,-960.9662082843173
V-,-197.27260673134023,-197.27260673134896,1691.9377888191239,5112.280985276729,5112.280985276729,5112.280985276729
V+,-197.27260673134023,-197.27260673134896,5112.280985276729,1691.9377888191239,5112.280985276729,5112.280985276729
S-,-197.27260673134023,-197.27260673134896,5112.280985276729,5112.280985276729,1691.9377888190807,5112.280985276729
S+,-197.27260673134023,-197.27260673134896,5112.280985276729,5112.280985276729,5112.280985276729,1691.9377888190807
