,B-,B+,V-,V+,S-,S+
B-,1734.0135005128043,1734.0135005128204,-34436.462380008605,-34436.46238000861,-34436.46238000861,-34436.46238000861
B+,1734.0135005128022,1734.0135005128182,-34436.46238000856,-34436.46238000857,-34436.46238000857,-34436.46238000857
V-,-11616.255304320106,-11616.255304320204,212940.9228458741,212940.92284587413,212940.92284587413,212940.92284587413
V+,-11616.255304320104,-11616.255304320202,212940.92284587404,212940.9228458741,212940.9228458741,212940.9228458741
S-,-11616.255304320104,-11616.255304320202,212940.92284587404,212940.9228458741,212940.9228458741,212940.9228458741
S+,-11616.255304320104,-11616.255304320202,212940.92284587404,212940.9228458741,212940.9228458741,212940.9228458741
