,B-,B+,V-,V+,S-,S+
B-,3420.343196457648,-2.3684757858670005e-15,2.294460917558657e-15,0.0,0.0,0.0
B+,-2.3684757858670005e-15,3420.343196457648,2.294460917558657e-15,0.0,0.0,0.0
V-,2.0724163126336257e-15,2.0724163126336257e-15,3420.343196457605,0.0,0.0,0.0
V+,0.0,0.0,0.0,3420.343196457605,0.0,0.0
S-,0.0,0.0,0.0,0.0,3420.343196457648,0.0
S+,0.0,0.0,0.0,0.0,0.0,3420.343196457648
