,B-,B+,V-,V+,S-,S+
B-,-140804.6062302408,-140804.6062302408,-90065.8641005237,-90065.86410052373,-90065.86410052372,-90065.86410052373
B+,-140804.6062302408,-140804.6062302408,-90065.86410052367,-90065.86410052367,-90065.86410052367,-90065.86410052367
V-,-67245.6570248352,-67245.65702483531,70402.30311512048,70402.3031151205,157311.521125359,157311.521125359
V+,-67245.65702483524,-67245.65702483532,70402.30311512042,70402.30311512048,157311.52112535897,157311.52112535897
S-,-67245.6570248352,-67245.65702483528,157311.5211253589,157311.52112535897,70402.30311512048,70402.30311512048
S+,-67245.6570248352,-67245.65702483531,157311.5211253589,157311.52112535897,70402.30311512048,70402.30311512048
