side,label,null_P1_mass,contracted_6_mass,line_pair_B_mass,outside_four_VS_mass
builder,BASIN_SWITCHER,1.0,0.0,0.0,0.0
builder,BLUFF_REVEAL,0.8841145833333334,0.1158854166666666,0.08984375,0.0260416666666666
builder,CURVATURE_ZERO,0.80859375,0.19140625,0.1875,0.00390625
builder,DIVERGENCE_MIN,1.0,0.0,0.0,0.0
builder,EMERGENCE_SEEKER,1.0,0.0,0.0,0.0
builder,FACE12_ANCHOR,1.0,0.0,0.0,0.0
builder,FACE15_ANCHOR,1.0,0.0,0.0,0.0
builder,FACE17_ANCHOR,1.0,0.0,0.0,0.0
builder,H2047_PURIST,0.8984375,0.1015625,0.1015625,0.0
builder,H954_CORRIDOR,1.0,0.0,0.0,0.0
builder,MONODROME_PURIST,0.8776041666666666,0.1223958333333333,0.12109375,0.0013020833333333
builder,Q4_BALANCER,0.96484375,0.03515625,0.03515625,0.0
builder,ROBUST_REVEAL,0.8619791666666666,0.1380208333333333,0.1328125,0.0052083333333333
builder,SIGMA_MIN,0.86328125,0.1367187499999999,0.1302083333333333,0.0065104166666666
builder,SPREAD_CONTROL,0.93359375,0.0664062499999999,0.0651041666666666,0.0013020833333333
builder,STOCHASTIC_CONTROL,1.0,0.0,0.0,0.0
jabber,BLUFF_ENGINE,0.7604166666666666,0.2395833333333333,0.2265625,0.0130208333333333
jabber,CURVATURE_INJECTOR,1.0,0.0,0.0,0.0
jabber,DIVERGENCE_TAX,1.0,0.0,0.0,0.0
jabber,EXTRACTOR_LURE,0.8203125,0.1796875,0.1796875,0.0
jabber,FACE12_DENIAL,1.0,0.0,0.0,0.0
jabber,FACE15_DENIAL,1.0,0.0,0.0,0.0
jabber,FACE17_DENIAL,1.0,0.0,0.0,0.0
jabber,HOMOLOGY_PUNCTURE,1.0,0.0,0.0,0.0
jabber,H_MASK_SPLIT,1.0,0.0,0.0,0.0
jabber,KERNEL_DRIP,1.0,0.0,0.0,0.0
jabber,KERNEL_SPIKE,1.0,0.0,0.0,0.0
jabber,MONODROME_CONTAMINATOR,0.7317708333333334,0.26822916666666663,0.2630208333333333,0.0052083333333333
jabber,NONE,1.0,0.0,0.0,0.0
jabber,OMEGA_LOCK,1.0,0.0,0.0,0.0
jabber,RANDOM_JABBER,0.7799479166666666,0.2200520833333332,0.1940104166666666,0.0260416666666666
jabber,RANK4_TAX,1.0,0.0,0.0,0.0
