cnf,proof,dimacs_variables,dimacs_clauses,proof_steps,add_steps,delete_steps,empty_clause_steps,max_var_seen,uses_extension_variables,integrity_counts,class_counts
contradiction_4.cnf,contradiction_4.cadical.drat,4,5,5,1,4,1,4,False,"{""C"": 5}","{""C_PUBLIC_DRAT_DELETION"": 4, ""C_PUBLIC_EMPTY_CLAUSE"": 1}"
horn_chain_12.cnf,horn_chain_12.cadical.drat,12,13,24,12,12,1,12,False,"{""C"": 24}","{""C_PUBLIC_DRAT_DELETION"": 12, ""C_PUBLIC_DRAT_LEMMA"": 11, ""C_PUBLIC_EMPTY_CLAUSE"": 1}"
horn_chain_8.cnf,horn_chain_8.cadical.drat,8,9,16,8,8,1,8,False,"{""C"": 16}","{""C_PUBLIC_DRAT_DELETION"": 8, ""C_PUBLIC_DRAT_LEMMA"": 7, ""C_PUBLIC_EMPTY_CLAUSE"": 1}"
php_3_2.cnf,php_3_2.cadical.drat,6,12,7,7,0,1,6,False,"{""C"": 7}","{""C_PUBLIC_DRAT_LEMMA"": 6, ""C_PUBLIC_EMPTY_CLAUSE"": 1}"
xor_unsat.cnf,xor_unsat.cadical.drat,5,24,31,16,15,1,4,False,"{""C"": 31}","{""C_PUBLIC_DRAT_DELETION"": 15, ""C_PUBLIC_DRAT_LEMMA"": 15, ""C_PUBLIC_EMPTY_CLAUSE"": 1}"
