,B-,B+,V-,V+,S-,S+
B-,-7.8580342233181e-10,-2.240994945168495e-09,-5996.161279455972,5996.161279456069,-1.5425030142068863e-09,-1.5425030142068863e-09
B+,2.5029294192790985e-09,1.076841726899147e-09,-5996.161279456174,5996.161279456064,1.7462298274040222e-09,1.7462298274040222e-09
V-,-21486.565280613715,-21486.565280613388,1251.5819277276369,1066.7321558000676,-21486.565280613617,-21486.565280613617
V+,21486.565280613526,21486.565280613533,-1387.27937296249,-931.0347105652123,21486.565280613602,21486.565280613602
S-,8.149072527885437e-10,-6.111804395914078e-10,-5996.161279456028,5996.161279456024,5.820766091346741e-11,5.820766091346741e-11
S+,8.149072527885437e-10,-6.111804395914078e-10,-5996.161279456028,5996.161279456024,5.820766091346741e-11,5.820766091346741e-11
