k,sample_words,mean_num,mean_den,var_num,var_den,centered_square_sum,cheb_eps1_num,cheb_eps1_den
1,1414965,2537360,1414965,5051286071240,2002125951225,7147392995792106600,7147392995792106600,2002125951225
2,2002125951225,2537360,1414965,5051286071240,4004251902450,20226621860581956230538000,10113310930290978115269000,4004251902450
3,2832938146575082125,2537360,1414965,5051286071240,6006377853675,42929943001437521546614801755000,14309981000479173848871600585000,6006377853675
4,4008508324568611079000625,2537360,1414965,5051286071240,8008503804900,80992489065372056900274417287018100000,20248122266343014225068604321754525000,8008503804900
5,5671898981473224775398119353125,2537360,1414965,5051286071240,10010629756125,143251921612980215614870988570656957333125000,28650384322596043122974197714131391466625000,10010629756125
6,8025538542320261494321199950494515625,2537360,1414965,5051286071240,12012755707350,243235746318132660944995114011455545959438258750000,40539291053022110157499185668575924326573043125000,12012755707350
7,11355856143534188805312196687951472301328125,2537360,1414965,5051286071240,14014881658575,401531745753876010693040846746755729353245981757559375000,57361677964839430099005835249536532764749425965365625000,14014881658575
8,16068138988135853462908572386567255004848750390625,2537360,1414965,5051286071240,16017007609800,649318133292152193680318333390883680667789372088668572625000000,81164766661519024210039791673860460083473671511083571578125000,16017007609800
