surface_id,surface_code,input_certified_flag,resolved_flag,open_boundary_flag,materialized_flag,positive_witness_flag,next_action_code
0,0,1,1,1,0,1,0
1,1,1,1,1,0,1,1
2,2,1,1,1,0,1,2
3,3,1,1,1,1,1,3
4,4,1,1,1,1,1,4
5,5,1,1,1,1,1,5
6,6,1,1,0,1,1,6
7,7,True,1,1,0,0,7
8,8,1,1,0,0,1,8
