profile,k,lambda,mgf_ratio_to_gaussian_bound,pass
equal_1,1,-3,0.11184162225928883,True
equal_1,1,-2,0.5091578194443671,True
equal_1,1,-1,0.9359257154242789,True
equal_1,1,-0.5,0.9951264215685957,True
equal_1,1,0,1.0,True
equal_1,1,0.5,0.9951264215685957,True
equal_1,1,1,0.9359257154242789,True
equal_1,1,2,0.5091578194443671,True
equal_1,1,3,0.11184162225928883,True
one_heavy_1,1,-3,0.11184162225928883,True
one_heavy_1,1,-2,0.5091578194443671,True
one_heavy_1,1,-1,0.9359257154242789,True
one_heavy_1,1,-0.5,0.9951264215685957,True
one_heavy_1,1,0,1.0,True
one_heavy_1,1,0.5,0.9951264215685957,True
one_heavy_1,1,1,0.9359257154242789,True
one_heavy_1,1,2,0.5091578194443671,True
one_heavy_1,1,3,0.11184162225928883,True
random_1,1,-3,0.9375754740560426,True
random_1,1,-2,0.9857746411761739,True
random_1,1,-1,0.9990302096080347,True
random_1,1,-0.5,0.9999380491515631,True
random_1,1,0,1.0,True
random_1,1,0.5,0.9999380491515631,True
random_1,1,1,0.9990302096080347,True
random_1,1,2,0.9857746411761739,True
random_1,1,3,0.9375754740560426,True
equal_2,2,-3,0.012508548469589448,True
equal_2,2,-2,0.2592416851013427,True
equal_2,2,-1,0.8759569447924485,True
equal_2,2,-0.5,0.9902765949039185,True
equal_2,2,0,1.0,True
equal_2,2,0.5,0.9902765949039185,True
equal_2,2,1,0.8759569447924485,True
equal_2,2,2,0.2592416851013427,True
equal_2,2,3,0.012508548469589448,True
one_heavy_2,2,-3,0.1118369321571364,True
one_heavy_2,2,-2,0.5091535877605048,True
one_heavy_2,2,-1,0.9359252282878234,True
one_heavy_2,2,-0.5,0.9951263891805561,True
one_heavy_2,2,0,1.0,True
one_heavy_2,2,0.5,0.9951263891805561,True
one_heavy_2,2,1,0.9359252282878234,True
one_heavy_2,2,2,0.5091535877605048,True
one_heavy_2,2,3,0.1118369321571364,True
geometric_2,2,-3,0.08541519006350828,True
geometric_2,2,-2,0.4765338964273351,True
geometric_2,2,-1,0.9313644080441906,True
geometric_2,2,-0.5,0.9948078366985107,True
geometric_2,2,0,1.0,True
geometric_2,2,0.5,0.9948078366985107,True
geometric_2,2,1,0.9313644080441906,True
geometric_2,2,2,0.4765338964273351,True
geometric_2,2,3,0.08541519006350828,True
random_2,2,-3,0.9862133139759363,True
random_2,2,-2,0.9970989609480362,True
random_2,2,-1,0.9998116351474342,True
random_2,2,-0.5,0.9999881141027657,True
random_2,2,0,1.0,True
random_2,2,0.5,0.9999881141027657,True
random_2,2,1,0.9998116351474342,True
random_2,2,2,0.9970989609480362,True
random_2,2,3,0.9862133139759363,True
equal_3,3,-3,0.0013989763529478286,True
equal_3,3,-2,0.13199493109528293,True
equal_3,3,-1,0.819830630235738,True
equal_3,3,-0.5,0.9854504042498703,True
equal_3,3,0,1.0,True
equal_3,3,0.5,0.9854504042498703,True
equal_3,3,1,0.819830630235738,True
equal_3,3,2,0.13199493109528293,True
equal_3,3,3,0.0013989763529478286,True
one_heavy_3,3,-3,0.11183224225166442,True
one_heavy_3,3,-2,0.5091493561118126,True
one_heavy_3,3,-1,0.9359247411516215,True
one_heavy_3,3,-0.5,0.9951263567925174,True
one_heavy_3,3,0,1.0,True
one_heavy_3,3,0.5,0.9951263567925174,True
one_heavy_3,3,1,0.9359247411516215,True
one_heavy_3,3,2,0.5091493561118126,True
one_heavy_3,3,3,0.11183224225166442,True
geometric_3,3,-3,0.08347440450539838,True
geometric_3,3,-2,0.47421147110787376,True
geometric_3,3,-1,0.9310662362717329,True
geometric_3,3,-0.5,0.9947876814183543,True
geometric_3,3,0,1.0,True
geometric_3,3,0.5,0.9947876814183543,True
geometric_3,3,1,0.9310662362717329,True
geometric_3,3,2,0.47421147110787376,True
geometric_3,3,3,0.08347440450539838,True
random_3,3,-3,0.47279397546280233,True
random_3,3,-2,0.8286059527781785,True
random_3,3,-1,0.9858908948695313,True
random_3,3,-0.5,0.9990610636550701,True
random_3,3,0,1.0,True
random_3,3,0.5,0.9990610636550701,True
random_3,3,1,0.9858908948695313,True
random_3,3,2,0.8286059527781785,True
random_3,3,3,0.47279397546280233,True
equal_4,4,-3,0.00015646378481606857,True
equal_4,4,-2,0.06720625129418374,True
equal_4,4,-1,0.7673005691301205,True
equal_4,4,-0.5,0.9806477344144995,True
equal_4,4,0,1.0,True
equal_4,4,0.5,0.9806477344144995,True
equal_4,4,1,0.7673005691301205,True
equal_4,4,2,0.06720625129418374,True
equal_4,4,3,0.00015646378481606857,True
one_heavy_4,4,-3,0.11182755254286442,True
one_heavy_4,4,-2,0.50914512449829,True
one_heavy_4,4,-1,0.9359242540156729,True
one_heavy_4,4,-0.5,0.9951263244044798,True
one_heavy_4,4,0,1.0,True
one_heavy_4,4,0.5,0.9951263244044798,True
one_heavy_4,4,1,0.9359242540156729,True
one_heavy_4,4,2,0.50914512449829,True
one_heavy_4,4,3,0.11182755254286442,True
geometric_4,4,-3,0.08334189613634477,True
geometric_4,4,-2,0.47405965461838934,True
geometric_4,4,-1,0.9310473724267332,True
geometric_4,4,-0.5,0.9947864177972907,True
geometric_4,4,0,1.0,True
geometric_4,4,0.5,0.9947864177972907,True
geometric_4,4,1,0.9310473724267332,True
geometric_4,4,2,0.47405965461838934,True
geometric_4,4,3,0.08334189613634477,True
random_4,4,-3,0.5094996251167417,True
random_4,4,-2,0.8466532453013529,True
random_4,4,-1,0.9877085383583394,True
random_4,4,-0.5,0.9991875626152196,True
random_4,4,0,1.0,True
random_4,4,0.5,0.9991875626152196,True
random_4,4,1,0.9877085383583394,True
random_4,4,2,0.8466532453013529,True
random_4,4,3,0.5094996251167417,True
equal_5,5,-3,1.7499163518657392e-05,True
equal_5,5,-2,0.03421858836197676,True
equal_5,5,-1,0.7181363341085645,True
equal_5,5,-0.5,0.9758684707672515,True
equal_5,5,0,1.0,True
equal_5,5,0.5,0.9758684707672515,True
equal_5,5,1,0.7181363341085645,True
equal_5,5,2,0.03421858836197676,True
equal_5,5,3,1.7499163518657392e-05,True
one_heavy_5,5,-3,0.11182286303072854,True
one_heavy_5,5,-2,0.5091408929199372,True
one_heavy_5,5,-1,0.935923766879978,True
one_heavy_5,5,-0.5,0.9951262920164432,True
one_heavy_5,5,0,1.0,True
one_heavy_5,5,0.5,0.9951262920164432,True
one_heavy_5,5,1,0.935923766879978,True
one_heavy_5,5,2,0.5091408929199372,True
one_heavy_5,5,3,0.11182286303072854,True
geometric_5,5,-3,0.08333339224479074,True
geometric_5,5,-2,0.4740500499442029,True
geometric_5,5,-1,0.9310461897712852,True
geometric_5,5,-0.5,0.9947863387593545,True
geometric_5,5,0,1.0,True
geometric_5,5,0.5,0.9947863387593545,True
geometric_5,5,1,0.9310461897712852,True
geometric_5,5,2,0.4740500499442029,True
geometric_5,5,3,0.08333339224479074,True
random_5,5,-3,0.15583722423445445,True
random_5,5,-2,0.5896262514442777,True
random_5,5,-1,0.9542912479333993,True
random_5,5,-0.5,0.9967045584486417,True
random_5,5,0,1.0,True
random_5,5,0.5,0.9967045584486417,True
random_5,5,1,0.9542912479333993,True
random_5,5,2,0.5896262514442777,True
random_5,5,3,0.15583722423445445,True
equal_6,6,-3,1.9571348361072073e-06,True
equal_6,6,-2,0.017422661834848488,True
equal_6,6,-1,0.6721222622727272,True
equal_6,6,-0.5,0.9711124992362327,True
equal_6,6,0,1.0,True
equal_6,6,0.5,0.9711124992362327,True
equal_6,6,1,0.6721222622727272,True
equal_6,6,2,0.017422661834848488,True
equal_6,6,3,1.9571348361072073e-06,True
one_heavy_6,6,-3,0.11181817371524835,True
one_heavy_6,6,-2,0.5091366613767537,True
one_heavy_6,6,-1,0.9359232797445367,True
one_heavy_6,6,-0.5,0.9951262596284077,True
one_heavy_6,6,0,1.0,True
one_heavy_6,6,0.5,0.9951262596284077,True
one_heavy_6,6,1,0.9359232797445367,True
one_heavy_6,6,2,0.5091366613767537,True
one_heavy_6,6,3,0.11181817371524835,True
geometric_6,6,-3,0.08333285705826839,True
geometric_6,6,-2,0.47404944778593383,True
geometric_6,6,-1,0.9310461157976481,True
geometric_6,6,-0.5,0.994786333818519,True
geometric_6,6,0,1.0,True
geometric_6,6,0.5,0.994786333818519,True
geometric_6,6,1,0.9310461157976481,True
geometric_6,6,2,0.47404944778593383,True
geometric_6,6,3,0.08333285705826839,True
random_6,6,-3,0.09340828180535322,True
random_6,6,-2,0.4956588281104669,True
random_6,6,-1,0.935983327044316,True
random_6,6,-0.5,0.9952024634917539,True
random_6,6,0,1.0,True
random_6,6,0.5,0.9952024634917539,True
random_6,6,1,0.935983327044316,True
random_6,6,2,0.4956588281104669,True
random_6,6,3,0.09340828180535322,True
equal_7,7,-3,2.1888913505039744e-07,True
equal_7,7,-2,0.008870884508748051,True
equal_7,7,-1,0.6290565091701872,True
equal_7,7,-0.5,0.9663797063054879,True
equal_7,7,0,1.0,True
equal_7,7,0.5,0.9663797063054879,True
equal_7,7,1,0.6290565091701872,True
equal_7,7,2,0.008870884508748051,True
equal_7,7,3,2.1888913505039744e-07,True
one_heavy_7,7,-3,0.1118134845964155,True
one_heavy_7,7,-2,0.5091324298687392,True
one_heavy_7,7,-1,0.935922792609349,True
one_heavy_7,7,-0.5,0.9951262272403733,True
one_heavy_7,7,0,1.0,True
one_heavy_7,7,0.5,0.9951262272403733,True
one_heavy_7,7,1,0.935922792609349,True
one_heavy_7,7,2,0.5091324298687392,True
one_heavy_7,7,3,0.1118134845964155,True
geometric_7,7,-3,0.08333282355048595,True
geometric_7,7,-2,0.4740494101216781,True
geometric_7,7,-1,0.931046111173393,True
geometric_7,7,-0.5,0.9947863335097018,True
geometric_7,7,0,1.0,True
geometric_7,7,0.5,0.9947863335097018,True
geometric_7,7,1,0.931046111173393,True
geometric_7,7,2,0.4740494101216781,True
geometric_7,7,3,0.08333282355048595,True
random_7,7,-3,0.00012014615773098749,True
random_7,7,-2,0.06995906974189374,True
random_7,7,-1,0.7825127124829554,True
random_7,7,-0.5,0.982563684026139,True
random_7,7,0,1.0,True
random_7,7,0.5,0.982563684026139,True
random_7,7,1,0.7825127124829554,True
random_7,7,2,0.06995906974189374,True
random_7,7,3,0.00012014615773098749,True
